Transaction Date,Description,Amount
9/30/2024,Net Receivables,645723
9/30/2024,Net Receivables,949662
9/30/2024,Net Receivables,93024
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,753249
9/30/2024,Net Receivables,15830.5
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,3350
9/30/2024,Net Receivables,130526
9/30/2024,Net Receivables,3700000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,66038
9/30/2024,Net Receivables,9173
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,202310
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,15000
9/30/2024,Net Receivables,179480
9/30/2024,Net Receivables,43667
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,1141744
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,107916
9/30/2024,Net Receivables,145849
9/30/2024,Net Receivables,583644
9/30/2024,Net Receivables,45000
9/30/2024,Net Receivables,30462
9/30/2024,Net Receivables,614086
9/30/2024,Net Receivables,2790380
9/30/2024,Net Receivables,881794
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,32421
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,461948
9/30/2024,Net Receivables,1177502.2
9/30/2024,Net Receivables,3250
9/30/2024,Net Receivables,202287
9/30/2024,Net Receivables,115088
9/30/2024,Net Receivables,2854.8
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,342409
9/30/2024,Net Receivables,56980
9/30/2024,Net Receivables,809148
9/30/2024,Net Receivables,96741
9/30/2024,Net Receivables,29249
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,329516
9/30/2024,Net Receivables,11125385
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,280763
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,3000
9/30/2024,Net Receivables,5962
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,601111
9/30/2024,Net Receivables,31216
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,50
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,540415
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,1386382
9/30/2024,Net Receivables,117040
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,19022
9/30/2024,Net Receivables,110102
9/30/2024,Net Receivables,500
9/30/2024,Net Receivables,236287
9/30/2024,Net Receivables,1750000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,1500
9/30/2024,Net Receivables,1160000
9/30/2024,Net Receivables,271505
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,2255891
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,824834
9/30/2024,Net Receivables,3299334
9/30/2024,Net Receivables,1538
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,328957
9/30/2024,Net Receivables,265000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,553072
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,864124
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,522578
9/30/2024,Net Receivables,65850
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,127788
9/30/2024,Net Receivables,1580453
9/30/2024,Net Receivables,7332
9/30/2024,Net Receivables,18222597
9/30/2024,Net Receivables,46655
9/30/2024,Net Receivables,1183000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,195810
9/30/2024,Net Receivables,10000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,18521
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,58876
9/30/2024,Net Receivables,638984
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,650000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,802400
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,269472
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,25000
9/30/2024,Net Receivables,2000
9/30/2024,Net Receivables,2470000
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,20000
9/30/2024,Net Receivables,827691
9/30/2024,Net Receivables,552829
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,34299
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,364854
9/30/2024,Net Receivables,1196
9/30/2024,Net Receivables,12306830
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,4200
9/30/2024,Net Receivables,110729
9/30/2024,Net Receivables,598827
9/30/2024,Net Receivables,25000
9/30/2024,Net Receivables,351890
9/30/2024,Net Receivables,0
9/30/2024,Current Assets,0
9/30/2024,Current Assets,1169618
9/30/2024,Current Assets,19872445
9/30/2024,Current Assets,1803741
9/30/2024,Current Assets,7996666
9/30/2024,Current Assets,440919
9/30/2024,Current Assets,10720
9/30/2024,Current Assets,92809
9/30/2024,Current Assets,3150877
9/30/2024,Current Assets,113068.1
9/30/2024,Current Assets,2499646
9/30/2024,Current Assets,2562607
9/30/2024,Current Assets,17148460
9/30/2024,Current Assets,22995933
9/30/2024,Current Assets,4358495
9/30/2024,Current Assets,231143486
9/30/2024,Current Assets,90511
9/30/2024,Current Assets,129009
9/30/2024,Current Assets,24751088
9/30/2024,Current Assets,4228105
9/30/2024,Current Assets,185257529
9/30/2024,Current Assets,435800
9/30/2024,Current Assets,664923
9/30/2024,Current Assets,1077246
9/30/2024,Current Assets,2934674
9/30/2024,Current Assets,0
9/30/2024,Current Assets,1624545
9/30/2024,Current Assets,2394838
9/30/2024,Current Assets,76582602
9/30/2024,Current Assets,206882
9/30/2024,Current Assets,167170
9/30/2024,Current Assets,1680239
9/30/2024,Current Assets,542410
9/30/2024,Current Assets,2514673
9/30/2024,Current Assets,10883656
9/30/2024,Current Assets,0
9/30/2024,Current Assets,401883
9/30/2024,Current Assets,9714987
9/30/2024,Current Assets,22713
9/30/2024,Current Assets,1216
9/30/2024,Current Assets,4825253
9/30/2024,Current Assets,1997547
9/30/2024,Current Assets,1240629
9/30/2024,Current Assets,149610
9/30/2024,Current Assets,1686687
9/30/2024,Current Assets,156572
9/30/2024,Current Assets,5358959
9/30/2024,Current Assets,3708590.4
9/30/2024,Current Assets,55118
9/30/2024,Current Assets,3854053
9/30/2024,Current Assets,337514
9/30/2024,Current Assets,7221095.4
9/30/2024,Current Assets,47330
9/30/2024,Current Assets,1060806
9/30/2024,Current Assets,2718089
9/30/2024,Current Assets,51280323
9/30/2024,Current Assets,35103773
9/30/2024,Current Assets,0
9/30/2024,Current Assets,2622839
9/30/2024,Current Assets,151709
9/30/2024,Current Assets,30304
9/30/2024,Current Assets,2550163
9/30/2024,Current Assets,1201882
9/30/2024,Current Assets,28308
9/30/2024,Current Assets,18814801
9/30/2024,Current Assets,1397760
9/30/2024,Current Assets,99408
9/30/2024,Current Assets,150.8
9/30/2024,Current Assets,2672944
9/30/2024,Current Assets,6469990
9/30/2024,Current Assets,4515814
9/30/2024,Current Assets,8164292
9/30/2024,Current Assets,327826
9/30/2024,Current Assets,1372523
9/30/2024,Current Assets,35071888
9/30/2024,Current Assets,62792092
9/30/2024,Current Assets,1694538
9/30/2024,Current Assets,1955417
9/30/2024,Current Assets,346425
9/30/2024,Current Assets,3092432
9/30/2024,Current Assets,3041543
9/30/2024,Current Assets,4798066.9
9/30/2024,Current Assets,21236
9/30/2024,Current Assets,5283049
9/30/2024,Current Assets,2983452
9/30/2024,Current Assets,54099.1
9/30/2024,Current Assets,2170733
9/30/2024,Current Assets,1656408
9/30/2024,Current Assets,0
9/30/2024,Current Assets,2517539
9/30/2024,Current Assets,1179674
9/30/2024,Current Assets,1760323
9/30/2024,Current Assets,3153216
9/30/2024,Current Assets,795255
9/30/2024,Current Assets,1370943
9/30/2024,Current Assets,320426
9/30/2024,Current Assets,7624113
9/30/2024,Current Assets,24674688
9/30/2024,Current Assets,258083
9/30/2024,Current Assets,15987215
9/30/2024,Current Assets,1284642
9/30/2024,Current Assets,24535000
9/30/2024,Current Assets,60581065
9/30/2024,Current Assets,3257724
9/30/2024,Current Assets,151407
9/30/2024,Current Assets,3250162
9/30/2024,Current Assets,1041255
9/30/2024,Current Assets,7192262
9/30/2024,Current Assets,727764
9/30/2024,Current Assets,5376033
9/30/2024,Current Assets,253315
9/30/2024,Current Assets,1424864
9/30/2024,Current Assets,6533333
9/30/2024,Current Assets,6790787
9/30/2024,Current Assets,4927634
9/30/2024,Current Assets,218037.6
9/30/2024,Current Assets,3136201
9/30/2024,Current Assets,4649459
9/30/2024,Current Assets,1920735
9/30/2024,Current Assets,127474
9/30/2024,Current Assets,1793679
9/30/2024,Current Assets,8302
9/30/2024,Current Assets,3166425
9/30/2024,Current Assets,3713598
9/30/2024,Current Assets,218820
9/30/2024,Current Assets,382153
9/30/2024,Current Assets,3042794
9/30/2024,Current Assets,35282414
9/30/2024,Current Assets,22000
9/30/2024,Current Assets,4457278
9/30/2024,Current Assets,249
9/30/2024,Current Assets,92620
9/30/2024,Current Assets,944711
9/30/2024,Current Assets,8028694
9/30/2024,Current Assets,765663
9/30/2024,Current Assets,429614
9/30/2024,Current Assets,172519
9/30/2024,Current Assets,107828
9/30/2024,Current Assets,4763321
9/30/2024,Current Assets,626556
9/30/2024,Current Assets,132330
9/30/2024,Current Assets,35962
9/30/2024,Current Assets,1715010
9/30/2024,Current Assets,2089247
9/30/2024,Current Assets,27218138
9/30/2024,Current Assets,161432
9/30/2024,Current Assets,568833
9/30/2024,Current Assets,15763733
9/30/2024,Current Assets,1362428
9/30/2024,Current Assets,229809
9/30/2024,Current Assets,660553
9/30/2024,Current Assets,3641801
9/30/2024,Current Assets,839383
9/30/2024,Current Assets,191166827
9/30/2024,Current Assets,382079
9/30/2024,Current Assets,2713184
9/30/2024,Current Assets,1740546
9/30/2024,Current Assets,7850
9/30/2024,Current Assets,2695928
9/30/2024,Current Assets,3608629
9/30/2024,Current Assets,82344073
9/30/2024,Current Assets,11094
9/30/2024,Current Assets,17849
9/30/2024,Current Assets,4380420
9/30/2024,Current Assets,265386
9/30/2024,Current Assets,647340
9/30/2024,Current Assets,1558608
9/30/2024,Current Assets,535957
9/30/2024,Current Assets,1453183
9/30/2024,Current Assets,23932
9/30/2024,Current Assets,3332246
9/30/2024,Current Assets,438720
9/30/2024,Current Assets,469751
9/30/2024,Current Assets,1873637
9/30/2024,Current Assets,2102515
9/30/2024,Current Assets,484475
9/30/2024,Current Assets,102299
9/30/2024,Current Assets,245
9/30/2024,Current Assets,3735790
9/30/2024,Current Assets,31300607
9/30/2024,Current Assets,196851
9/30/2024,Current Assets,451910.7
9/30/2024,Current Assets,4940281
9/30/2024,Current Assets,1
9/30/2024,Current Assets,1522714
9/30/2024,Current Assets,1323233
9/30/2024,Current Assets,5136662
9/30/2024,Current Assets,2024644
9/30/2024,Current Assets,199956
9/30/2024,Current Assets,2859945
9/30/2024,Current Assets,7532198
9/30/2024,Current Assets,892054
9/30/2024,Current Assets,30396749
9/30/2024,Current Assets,0
9/30/2024,Current Assets,3827308
9/30/2024,Current Assets,950119
9/30/2024,Current Assets,1500892
9/30/2024,Current Assets,66727
9/30/2024,Current Assets,840402
9/30/2024,Current Assets,3649919
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,8273140
9/30/2024,Long-term receivables,194988
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,40000
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,362312
9/30/2024,Long-term receivables,14852212
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,9666400
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,618312
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,21885132
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,148536
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1181522
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1022398
9/30/2024,Long-term receivables,74069715
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,178286
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,215000
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2074746
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,20620
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,638984
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2683441
9/30/2024,Long-term receivables,722271.5
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1681194
9/30/2024,Long-term receivables,16150067
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1415331
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,599280
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2802501
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,11203
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,193023
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,3785771
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,6037
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,441177
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,41385
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,594425
9/30/2024,Long-term receivables,118894
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2186856
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,6766332
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,22587420
9/30/2024,Long-term receivables,4033
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,554922
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,6533333
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2016325
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,784973
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,11215
9/30/2024,Long-term receivables,113042
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,975612
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1150671
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,5416
9/30/2024,Long-term receivables,3241433
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,90240
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1357560
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,3434971
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,17157
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,968438
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,676288
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,2354981
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,114354
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1970972
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,1901832
9/30/2024,Long-term receivables,254212
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Long-term receivables,0
9/30/2024,Non-Current Assets,160588
9/30/2024,Non-Current Assets,755765
9/30/2024,Non-Current Assets,8273140
9/30/2024,Non-Current Assets,194988
9/30/2024,Non-Current Assets,407827
9/30/2024,Non-Current Assets,407827
9/30/2024,Non-Current Assets,93512
9/30/2024,Non-Current Assets,3477267
9/30/2024,Non-Current Assets,2948488
9/30/2024,Non-Current Assets,40000
9/30/2024,Non-Current Assets,2535228
9/30/2024,Non-Current Assets,184285
9/30/2024,Non-Current Assets,14291613
9/30/2024,Non-Current Assets,14852212
9/30/2024,Non-Current Assets,131798566
9/30/2024,Non-Current Assets,120445271
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,15493990
9/30/2024,Non-Current Assets,18094871
9/30/2024,Non-Current Assets,22544490
9/30/2024,Non-Current Assets,48398753
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,148536
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1181522
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1200702
9/30/2024,Non-Current Assets,1052886
9/30/2024,Non-Current Assets,76603095
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,663081
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,2853186
9/30/2024,Non-Current Assets,11350476
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,493005
9/30/2024,Non-Current Assets,278005
9/30/2024,Non-Current Assets,1774
9/30/2024,Non-Current Assets,283535
9/30/2024,Non-Current Assets,3245679
9/30/2024,Non-Current Assets,1055801
9/30/2024,Non-Current Assets,23091
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1450024
9/30/2024,Non-Current Assets,407000
9/30/2024,Non-Current Assets,5696435.7
9/30/2024,Non-Current Assets,1674535.4
9/30/2024,Non-Current Assets,19997
9/30/2024,Non-Current Assets,1160187
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,165822
9/30/2024,Non-Current Assets,512437
9/30/2024,Non-Current Assets,2621817
9/30/2024,Non-Current Assets,50337058
9/30/2024,Non-Current Assets,4396019
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1415331
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,21262
9/30/2024,Non-Current Assets,620542
9/30/2024,Non-Current Assets,182549
9/30/2024,Non-Current Assets,10817183
9/30/2024,Non-Current Assets,11627420
9/30/2024,Non-Current Assets,973619
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1421164
9/30/2024,Non-Current Assets,6952332
9/30/2024,Non-Current Assets,5284062
9/30/2024,Non-Current Assets,9408472
9/30/2024,Non-Current Assets,7996381
9/30/2024,Non-Current Assets,193023
9/30/2024,Non-Current Assets,48888780
9/30/2024,Non-Current Assets,80394401
9/30/2024,Non-Current Assets,40124715
9/30/2024,Non-Current Assets,547258
9/30/2024,Non-Current Assets,1040212
9/30/2024,Non-Current Assets,156421
9/30/2024,Non-Current Assets,508087
9/30/2024,Non-Current Assets,687794
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,163928
9/30/2024,Non-Current Assets,1277837
9/30/2024,Non-Current Assets,1207736
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,97342
9/30/2024,Non-Current Assets,138727
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1933606
9/30/2024,Non-Current Assets,453605
9/30/2024,Non-Current Assets,924369
9/30/2024,Non-Current Assets,3046712
9/30/2024,Non-Current Assets,125422
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,3402377
9/30/2024,Non-Current Assets,25898
9/30/2024,Non-Current Assets,3601629
9/30/2024,Non-Current Assets,10391711
9/30/2024,Non-Current Assets,15306
9/30/2024,Non-Current Assets,32420000
9/30/2024,Non-Current Assets,94917303
9/30/2024,Non-Current Assets,4033
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,554922
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,34115
9/30/2024,Non-Current Assets,327430
9/30/2024,Non-Current Assets,253315
9/30/2024,Non-Current Assets,259460
9/30/2024,Non-Current Assets,6145
9/30/2024,Non-Current Assets,6533333
9/30/2024,Non-Current Assets,10945
9/30/2024,Non-Current Assets,2016325
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,4341496
9/30/2024,Non-Current Assets,3192440
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,822636
9/30/2024,Non-Current Assets,975963
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1850416
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,137375
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,33282267
9/30/2024,Non-Current Assets,33017047
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,2168758
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,133786
9/30/2024,Non-Current Assets,133786
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,4075202
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1939588
9/30/2024,Non-Current Assets,1939588
9/30/2024,Non-Current Assets,19114330
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,289937
9/30/2024,Non-Current Assets,4721319
9/30/2024,Non-Current Assets,1295365
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,26038
9/30/2024,Non-Current Assets,1850926
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,330350731
9/30/2024,Non-Current Assets,90240
9/30/2024,Non-Current Assets,1448791
9/30/2024,Non-Current Assets,3329430
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,2442366
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,81928899
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,69140
9/30/2024,Non-Current Assets,4016598
9/30/2024,Non-Current Assets,108096
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,776087
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,649416
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,17157
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,1517936
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,588552
9/30/2024,Non-Current Assets,5130400
9/30/2024,Non-Current Assets,30906508
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,2386752
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,-19644
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,4979011
9/30/2024,Non-Current Assets,2575203
9/30/2024,Non-Current Assets,694011
9/30/2024,Non-Current Assets,3386867
9/30/2024,Non-Current Assets,4265850
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,21501797
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,2447503
9/30/2024,Non-Current Assets,259312
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,0
9/30/2024,Non-Current Assets,436998
9/30/2024,Non-Current Assets,0
9/30/2024,Payable,0
9/30/2024,Payable,1198324
9/30/2024,Payable,19872445
9/30/2024,Payable,1803741
9/30/2024,Payable,10209535
9/30/2024,Payable,459802
9/30/2024,Payable,10720
9/30/2024,Payable,93259
9/30/2024,Payable,3375950
9/30/2024,Payable,113068.1
9/30/2024,Payable,3400398
9/30/2024,Payable,4387607
9/30/2024,Payable,22191989
9/30/2024,Payable,23010483
9/30/2024,Payable,4454940
9/30/2024,Payable,336020826
9/30/2024,Payable,90511
9/30/2024,Payable,129009
9/30/2024,Payable,28120809
9/30/2024,Payable,4228105
9/30/2024,Payable,359185750
9/30/2024,Payable,435800
9/30/2024,Payable,664923
9/30/2024,Payable,1200842
9/30/2024,Payable,2934674
9/30/2024,Payable,0
9/30/2024,Payable,1664113
9/30/2024,Payable,4237563
9/30/2024,Payable,76582602
9/30/2024,Payable,520835
9/30/2024,Payable,261876
9/30/2024,Payable,1680239
9/30/2024,Payable,662926
9/30/2024,Payable,2722875
9/30/2024,Payable,10883656
9/30/2024,Payable,0
9/30/2024,Payable,417717
9/30/2024,Payable,9714987
9/30/2024,Payable,25755
9/30/2024,Payable,1216
9/30/2024,Payable,4961766
9/30/2024,Payable,2010753
9/30/2024,Payable,1277637
9/30/2024,Payable,149610
9/30/2024,Payable,1686687
9/30/2024,Payable,246172
