Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Hudson Yards Development Corporation,6/30/2024,141060.0,0.0,2190696.0,2643.0,2334399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334399.0,2193159.0,4259.0,0.0,61426.0,0.0,0.0,0.0,2258844.0,0.0,0.0,0.0,0.0,0.0,0.0,2258844.0,0.0,0.0,75555.0,75555.0,0.0,0.0,4692400.0,4692400.0,623969.0,283726.0,3752821.0,426.0,0.0,19723.0,4680665.0,11735.0,2153.0,0.0,0.0,0.0,0.0,0.0,2153.0,0.0,0.0,0.0,0.0,0.0,13888.0,0.0,13888.0,61667.0,0.0,75555.0,2334399.0,OK
Hudson Yards Infrastructure Corporation,6/30/2024,87980219.6,379987236.7,527517.1,0.0,468494973.4,133216145.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133216145.5,601711118.9,250799.3,0.0,0.0,102992826.7,130708689.2,0.0,46825000.0,280777315.2,0.0,0.0,2748223656.0,0.0,0.0,2748223656.0,3029000971.0,0.0,0.0,-2427289852.0,-2427289852.0,0.0,0.0,338970589.9,338970589.9,0.0,0.0,0.0,0.0,0.0,1523373.2,1523373.2,337447216.7,17674178.6,0.0,0.0,0.0,0.0,0.0,17674178.6,95601991.9,0.0,0.0,262059262.7,357661254.6,-2539859.3,0.0,-2539859.3,-2424749993.0,0.0,-2427289852.0,601711119.0,Mismatch
New York City Business Assistance Corporation,6/30/2024,1315320.0,1522744.0,149747.0,0.0,2987811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2987811.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,2755438.0,224373.0,2979811.0,0.0,0.0,0.0,0.0,0.0,0.0,653238.0,0.0,0.0,11339.0,664577.0,-664577.0,0.0,0.0,0.0,0.0,0.0,1512.0,1512.0,0.0,0.0,0.0,0.0,0.0,-663065.0,0.0,-663065.0,3642876.0,0.0,2979811.0,2987811.0,OK
New York City Economic Development Corporation,6/30/2024,186586630.0,124307173.0,527924894.0,4218279.0,843036976.0,271215883.0,2231847822.0,35057197.0,132387246.0,608800570.0,0.0,104545946.0,636641870.0,3174762772.0,4017799748.0,109225824.0,0.0,0.0,195958291.0,48281753.0,0.0,4760106.0,358225974.0,0.0,0.0,0.0,260390899.0,2724484137.0,2984875036.0,3343101010.0,230162761.0,109011827.0,335524150.0,674698738.0,862109279.0,216972326.0,15734441.0,1094816046.0,60095612.0,13044883.0,1000845827.0,836418.0,29042718.0,22297183.0,1126162641.0,-31346595.0,9996520.0,0.0,0.0,0.0,0.0,53883173.0,63879693.0,0.0,0.0,0.0,0.0,0.0,32533098.0,0.0,32533098.0,642165640.0,0.0,674698738.0,4017799748.0,OK
New York City Energy Efficiency Corporation,6/30/2024,10197869.0,3370213.0,8982744.0,143850.0,22694676.0,4247657.0,16649728.0,0.0,0.0,4711.0,654964.0,0.0,659675.0,21557060.0,44251736.0,1008511.0,0.0,0.0,0.0,0.0,0.0,154937.0,1163448.0,0.0,0.0,13311790.0,585062.0,124378.0,14021230.0,15184678.0,0.0,3304318.0,25762740.0,29067058.0,0.0,1979379.0,0.0,1979379.0,1932498.0,413698.0,573972.0,11685.0,2827.0,326797.0,3261477.0,-1282098.0,149497.0,222728.8,0.0,970126.2,0.0,1571175.0,2913527.0,581034.0,0.0,0.0,2256301.0,2837335.0,-1205906.0,0.0,-1205906.0,30272964.0,0.0,29067058.0,44251736.0,OK
New York City Land Development Corporation,6/30/2024,3102.0,0.0,4021.0,0.0,7123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7123.0,0.0,0.0,0.0,2124.0,0.0,0.0,0.0,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,0.0,0.0,4999.0,4999.0,0.0,0.0,2100.0,2100.0,0.0,0.0,0.0,0.0,0.0,2100.0,2100.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,4999.0,0.0,4999.0,7123.0,OK
Newburgh Community Land Bank,6/30/2024,69555.0,0.0,0.0,22927.0,92482.0,0.0,0.0,130574.0,0.0,544306.0,0.0,0.0,544306.0,674880.0,767362.0,22981.0,0.0,0.0,6943.0,0.0,0.0,209788.0,239712.0,0.0,0.0,0.0,0.0,0.0,0.0,239712.0,130574.0,0.0,397076.0,527650.0,0.0,0.0,1032500.0,1032500.0,182860.0,12533.0,62895.0,0.0,0.0,1666175.0,1924463.0,-891963.0,0.0,212000.0,0.0,0.0,0.0,21741.0,233741.0,20860.0,0.0,0.0,0.0,20860.0,-679082.0,0.0,-679082.0,1206732.0,0.0,527650.0,767362.0,OK
NYC Neighborhood Capital Corporation,6/30/2024,6229075.0,0.0,0.0,71273.0,6300348.0,0.0,0.0,15555.0,0.0,0.0,0.0,0.0,0.0,15555.0,6315903.0,0.0,0.0,0.0,172750.0,0.0,0.0,0.0,172750.0,0.0,0.0,0.0,0.0,0.0,0.0,172750.0,0.0,0.0,6143153.0,6143153.0,0.0,1522993.0,0.0,1522993.0,0.0,0.0,412500.0,0.0,0.0,19509.0,432009.0,1090984.0,130540.0,0.0,0.0,0.0,0.0,0.0,130540.0,0.0,0.0,0.0,0.0,0.0,1221524.0,0.0,1221524.0,4921629.0,0.0,6143153.0,6315903.0,OK
Public Realm Improvement Fund Governing Group Inc,6/30/2024,19066681.0,21967940.0,113803.0,0.0,41148424.0,8510487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8510487.0,49658911.0,34634.0,0.0,0.0,0.0,0.0,0.0,0.0,34634.0,0.0,0.0,0.0,0.0,0.0,0.0,34634.0,0.0,49624277.0,0.0,49624277.0,863250.0,0.0,0.0,863250.0,0.0,0.0,0.0,0.0,0.0,49752.0,49752.0,813498.0,1524445.0,0.0,0.0,0.0,0.0,0.0,1524445.0,0.0,0.0,0.0,0.0,0.0,2337943.0,0.0,2337943.0,47286334.0,0.0,49624277.0,49658911.0,OK
Rochester Land Bank Corporation,6/30/2024,1145071.0,0.0,51181.0,0.0,1196252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196252.0,4483.0,0.0,0.0,51181.0,0.0,0.0,0.0,55664.0,0.0,0.0,0.0,0.0,0.0,0.0,55664.0,0.0,0.0,1140588.0,1140588.0,0.0,0.0,281670.0,281670.0,266623.0,0.0,22802.0,0.0,0.0,696808.0,986233.0,-704563.0,0.0,71510.0,215442.0,0.0,0.0,0.0,286952.0,0.0,0.0,0.0,0.0,0.0,-417611.0,0.0,-417611.0,1558199.0,0.0,1140588.0,1196252.0,OK
Schoharie County Capital Resource Corporation,6/30/2024,23210.0,0.0,0.0,353.0,23563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23563.0,23563.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,1256.0,3656.0,-3656.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-3651.0,0.0,-3651.0,27214.0,0.0,23563.0,23563.0,OK
"TSASC, Inc.",6/30/2024,739316.0,0.0,98503783.8,0.0,99243099.9,81566173.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81566173.4,180809273.2,13500.0,0.0,0.0,3908770.8,61661000.0,29050000.0,0.0,94633270.8,0.0,0.0,909055000.0,0.0,16357052.9,925412052.9,1020045324.0,0.0,0.0,-839236050.5,-839236050.5,0.0,0.0,192084901.0,192084901.0,0.0,0.0,0.0,0.0,0.0,512152.7,512152.7,191572748.3,3327244.4,0.0,0.0,0.0,0.0,0.0,3327244.4,44867884.8,0.0,0.0,121195893.5,166063778.4,28836214.3,0.0,28836214.3,-868072264.9,0.0,-839236050.5,180809273.5,Mismatch
Watertown Industrial Center Local Development Corporation,6/30/2024,360734.0,0.0,19936.0,0.0,380670.0,0.0,0.0,122080.0,205000.0,6160901.0,0.0,4387877.0,1978024.0,2100104.0,2480774.0,13291.0,0.0,0.0,0.0,1079.0,0.0,211442.0,225812.0,0.0,0.0,0.0,0.0,204841.0,204841.0,430653.0,97881.0,268419.0,1683821.0,2050121.0,665275.0,0.0,23760.0,689035.0,121403.0,26879.0,155903.0,0.0,160931.0,160593.0,625709.0,63326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10880.0,0.0,0.0,0.0,10880.0,52446.0,0.0,52446.0,1997675.0,0.0,2050121.0,2480774.0,OK
Binghamton Local Development Corporation,7/31/2024,55234.0,0.0,26357.0,0.0,81591.0,1227987.0,1359592.0,0.0,760981.0,0.0,0.0,0.0,760981.0,3348560.0,3430151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609218.0,609218.0,609218.0,0.0,2775699.0,45234.0,2820933.0,82992.0,65560.0,19818.0,168370.0,46242.0,0.0,26130.0,33076.0,0.0,749916.0,855364.0,-686994.0,10838.0,0.0,0.0,0.0,0.0,0.0,10838.0,0.0,0.0,0.0,0.0,0.0,-676156.0,0.0,-676156.0,3497089.0,0.0,2820933.0,3430151.0,OK
Albany CSO Pool Communities Corporation,8/31/2024,41359.0,0.0,0.0,0.0,41359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41359.0,14949.0,0.0,0.0,0.0,0.0,0.0,26410.0,41359.0,0.0,0.0,0.0,0.0,0.0,0.0,41359.0,0.0,0.0,0.0,0.0,0.0,0.0,16731703.0,16731703.0,0.0,0.0,42507.0,0.0,0.0,16689196.0,16731703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41359.0,OK
Fairport Local Development Corporation,8/31/2024,616774.0,0.0,159294.0,664.0,776732.0,0.0,197423.0,0.0,0.0,0.0,0.0,0.0,0.0,197423.0,974155.0,2711.0,0.0,0.0,0.0,12585.0,0.0,0.0,15296.0,0.0,0.0,0.0,0.0,0.0,0.0,15296.0,0.0,0.0,958859.0,958859.0,0.0,29462.0,3563.0,33025.0,0.0,0.0,7138.0,0.0,0.0,29719.0,36857.0,-3832.0,10796.0,0.0,0.0,0.0,0.0,0.0,10796.0,0.0,0.0,0.0,0.0,0.0,6964.0,0.0,6964.0,951895.0,0.0,958859.0,974155.0,OK
