Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Niagara County Brownfields Development Corporation,8/31/2024,589445.0,0.0,69958.0,0.0,659403.0,0.0,1482570.0,0.0,0.0,0.0,0.0,0.0,0.0,1482570.0,2141973.0,40549.0,0.0,0.0,0.0,0.0,0.0,0.0,40549.0,0.0,0.0,0.0,0.0,0.0,0.0,40549.0,0.0,2101424.0,0.0,2101424.0,0.0,8167.0,0.0,8167.0,0.0,0.0,60204.0,0.0,0.0,91358.0,151562.0,-143395.0,0.0,0.0,713278.0,0.0,0.0,0.0,713278.0,0.0,0.0,0.0,0.0,0.0,569883.0,0.0,569883.0,1531541.0,0.0,2101424.0,2141973.0,OK
Ontario County Four Seasons Development Corporation,8/31/2024,870834.0,518845.0,565.0,12946.0,1403190.0,3783.0,0.0,0.0,0.0,295330.0,0.0,0.0,295330.0,299113.0,1702303.0,15830.0,0.0,0.0,74640.0,388757.0,0.0,0.0,479227.0,0.0,0.0,0.0,0.0,3783.0,3783.0,483010.0,0.0,0.0,1219293.0,1219293.0,8002.0,0.0,8389.0,16391.0,508194.0,102006.0,38561.0,7062.0,42402.0,694020.0,1392245.0,-1375854.0,19685.0,59607.0,0.0,1217529.0,0.0,10802.0,1307623.0,0.0,0.0,0.0,0.0,0.0,-68231.0,0.0,-68231.0,1287524.0,0.0,1219293.0,1702303.0,OK
Clinton Grant Facilitation Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
Advance Albany County Alliance Local Development Corporation,9/30/2024,623804.0,0.0,90214.0,19899.0,733917.0,0.0,0.0,320064.0,0.0,160588.0,0.0,44951.0,115637.0,435701.0,1169618.0,28706.0,0.0,0.0,1966.0,0.0,0.0,94814.0,125486.0,0.0,0.0,0.0,0.0,225250.0,225250.0,350736.0,0.0,0.0,818882.0,818882.0,516189.0,47407.0,46260.0,609856.0,353498.0,97554.0,172192.0,43499.0,27868.0,204685.0,899296.0,-289440.0,0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,210560.0,0.0,210560.0,608322.0,0.0,818882.0,1169618.0,OK
Albany County Business Development Corporation,9/30/2024,4500784.0,4999236.0,2099285.0,0.0,11599305.0,0.0,8273140.0,0.0,0.0,0.0,0.0,0.0,0.0,8273140.0,19872445.0,0.0,0.0,0.0,87188.0,0.0,0.0,0.0,87188.0,0.0,0.0,0.0,0.0,0.0,0.0,87188.0,0.0,19611029.0,174228.0,19785257.0,0.0,0.0,508980.0,508980.0,0.0,0.0,434310.0,0.0,0.0,0.0,434310.0,74670.0,105149.0,0.0,0.0,0.0,0.0,32479.0,137628.0,0.0,0.0,0.0,0.0,0.0,212298.0,0.0,212298.0,19572959.0,0.0,19785257.0,19872445.0,OK
Albany County Capital Resource Corporation,9/30/2024,1607014.0,0.0,0.0,1739.0,1608753.0,0.0,194988.0,0.0,0.0,0.0,0.0,0.0,0.0,194988.0,1803741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803741.0,1803741.0,0.0,0.0,38866.0,38866.0,0.0,0.0,80717.0,0.0,0.0,22753.0,103470.0,-64604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64604.0,0.0,-64604.0,1868345.0,0.0,1803741.0,1803741.0,OK
Albany County Land Bank Corporation,9/30/2024,3596987.0,0.0,2542640.0,1857039.0,7996666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7996666.0,428566.0,0.0,0.0,165078.0,1784303.0,0.0,0.0,2377947.0,0.0,0.0,0.0,0.0,0.0,0.0,2377947.0,0.0,0.0,5618719.0,5618719.0,0.0,0.0,2272977.0,2272977.0,532716.0,0.0,192544.0,0.0,0.0,3145345.0,3870605.0,-1597628.0,599.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,-1597029.0,660100.0,-936929.0,6555648.0,0.0,5618719.0,7996666.0,OK
Allegany County Land Bank Corporation,9/30/2024,33092.0,0.0,0.0,0.0,33092.0,0.0,0.0,0.0,407827.0,0.0,0.0,0.0,407827.0,407827.0,440919.0,-2126.0,0.0,0.0,0.0,21009.0,0.0,0.0,18883.0,0.0,0.0,0.0,0.0,0.0,0.0,18883.0,0.0,0.0,422036.0,422036.0,0.0,0.0,3000.0,3000.0,0.0,0.0,58695.0,386.0,0.0,70109.0,129190.0,-126190.0,0.0,119641.0,0.0,0.0,0.0,0.0,119641.0,0.0,0.0,0.0,0.0,0.0,-6549.0,0.0,-6549.0,428585.0,0.0,422036.0,440919.0,OK
Allegany County Telecommunications Development Corp,9/30/2024,9220.0,0.0,1500.0,0.0,10720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10720.0,10720.0,20063.0,0.0,16348.0,36411.0,0.0,0.0,22358.0,0.0,0.0,2527.0,24885.0,11526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11526.0,0.0,11526.0,-806.0,0.0,10720.0,10720.0,OK
Bethel Local Development Corporation,9/30/2024,9302.0,0.0,0.0,0.0,9302.0,0.0,0.0,0.0,80944.0,12568.0,0.0,10005.0,83507.0,83507.0,92809.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,65404.0,65404.0,65854.0,59663.0,18473.0,-51181.0,26955.0,0.0,0.0,38154.0,38154.0,0.0,0.0,13321.0,0.0,0.0,18135.0,31456.0,6698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,732.0,5966.0,0.0,5966.0,20989.0,0.0,26955.0,92809.0,OK
Bolton Local Development Corporation,9/30/2024,150757.0,0.0,173333.0,0.0,324090.0,101384.0,0.0,121701.0,1894320.0,1499440.0,0.0,790058.0,2603702.0,2826787.0,3150877.0,0.0,0.0,0.0,55964.0,225073.0,182636.0,0.0,463673.0,0.0,0.0,2672313.0,0.0,0.0,2672313.0,3135986.0,0.0,0.0,14891.0,14891.0,1097477.0,0.0,0.0,1097477.0,277692.0,37289.0,54022.0,15426.0,101207.0,429466.0,915102.0,182375.0,473.0,0.0,0.0,0.0,0.0,20948.0,21421.0,19771.0,0.0,0.0,46037.0,65808.0,137988.0,0.0,137988.0,-123097.0,0.0,14891.0,3150877.0,OK
Clinton County Capital Resource Corporation,9/30/2024,72568.1,0.0,500.0,0.0,73068.1,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,113068.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,40000.0,0.0,0.0,73068.1,73068.1,2400.0,0.0,5000.0,7400.0,0.0,0.0,15100.0,0.0,0.0,0.0,15100.0,-7700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7700.0,0.0,-7700.0,80768.1,0.0,73068.1,113068.1,OK
Broome County Land Bank,9/30/2024,465320.0,0.0,341638.0,0.0,806958.0,850148.0,0.0,842540.0,0.0,0.0,0.0,0.0,0.0,1692688.0,2499646.0,50604.0,0.0,0.0,0.0,850148.0,0.0,0.0,900752.0,0.0,0.0,0.0,0.0,0.0,0.0,900752.0,0.0,0.0,1598894.0,1598894.0,0.0,0.0,1073270.0,1073270.0,102754.0,0.0,149646.0,21994.0,0.0,387095.0,661489.0,411781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411781.0,0.0,411781.0,1187113.0,0.0,1598894.0,2499646.0,OK
Broome County Local Development Corporation,9/30/2024,2225960.0,0.0,75000.0,261647.0,2562607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2562607.0,0.0,0.0,0.0,0.0,1825000.0,0.0,0.0,1825000.0,0.0,0.0,0.0,0.0,0.0,0.0,1825000.0,0.0,0.0,737607.0,737607.0,0.0,0.0,9082621.0,9082621.0,0.0,0.0,0.0,0.0,0.0,9057342.0,9057342.0,25279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25279.0,0.0,25279.0,712328.0,0.0,737607.0,2562607.0,OK
Buffalo and Erie County Industrial Land Development Corporation,9/30/2024,417701.0,0.0,9314250.0,0.0,9731951.0,0.0,362312.0,6875104.0,0.0,184285.0,0.0,5192.0,179093.0,7416509.0,17148460.0,880331.0,0.0,0.0,0.0,4163198.0,0.0,4519375.0,9562904.0,0.0,0.0,0.0,0.0,0.0,0.0,9562904.0,179093.0,539928.0,6866535.0,7585556.0,0.0,20025.0,11200.0,31225.0,0.0,0.0,32361.0,0.0,2267.0,253586.0,288214.0,-256989.0,3695.0,3605234.0,2687217.0,245175.0,210331.0,0.0,6751652.0,0.0,0.0,0.0,6258766.0,6258766.0,235897.0,0.0,235897.0,7349659.0,0.0,7585556.0,17148460.0,OK
Buffalo and Erie County Regional Development Corporation,9/30/2024,4287457.0,0.0,3856264.0,0.0,8143721.0,0.0,14852212.0,0.0,0.0,0.0,0.0,0.0,0.0,14852212.0,22995933.0,2041.0,0.0,0.0,0.0,12509.0,0.0,300328.0,314878.0,0.0,0.0,0.0,0.0,0.0,0.0,314878.0,0.0,4603316.0,18077739.0,22681055.0,21250.0,652208.0,0.0,673458.0,0.0,0.0,38358.0,667.0,0.0,285459.0,324484.0,348974.0,72599.0,0.0,84596.0,0.0,0.0,0.0,157195.0,0.0,0.0,0.0,0.0,0.0,506169.0,0.0,506169.0,22174886.0,0.0,22681055.0,22995933.0,OK
Buffalo Erie Niagara Land Improvement Corporation,9/30/2024,2038262.0,987190.0,10521.0,4542.0,3040515.0,0.0,0.0,1317980.0,0.0,0.0,0.0,0.0,0.0,1317980.0,4358495.0,96445.0,0.0,0.0,0.0,0.0,0.0,442229.0,538674.0,0.0,0.0,0.0,0.0,0.0,0.0,538674.0,0.0,0.0,3819821.0,3819821.0,0.0,0.0,1441755.0,1441755.0,338748.0,23416.0,129648.0,53074.0,0.0,1837546.0,2382432.0,-940677.0,0.0,199530.0,0.0,0.0,0.0,2103.0,201633.0,0.0,0.0,0.0,8844.0,8844.0,-747888.0,0.0,-747888.0,4567709.0,0.0,3819821.0,4358495.0,OK
Buffalo Urban Development Corporation,9/30/2024,16542113.0,0.0,89350024.0,5749149.0,111641286.0,460544.0,9666400.0,943071.0,6404202.0,122758404.0,0.0,20730421.0,108432185.0,119502200.0,231143486.0,493866.0,0.0,0.0,34201.0,104383474.0,469938.0,570000.0,105951479.0,0.0,0.0,13629812.0,0.0,26742613.0,40372425.0,146323904.0,87650447.0,233780.0,-3064645.0,84819582.0,0.0,2151136.0,897001.0,3048137.0,330672.0,109889.0,2116922.0,0.0,4138093.0,30743515.0,37439091.0,-34390954.0,126418.0,470184.0,36109.0,123238.0,200000.0,30811296.0,31767245.0,197771.0,0.0,0.0,0.0,197771.0,-2821480.0,42311.0,-2779169.0,87598751.0,0.0,84819582.0,231143486.0,OK
"Canandaigua Local Development Corporation, Inc",9/30/2024,13815.0,76696.0,0.0,0.0,90511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90511.0,90511.0,0.0,0.0,0.0,0.0,0.0,0.0,86690.0,0.0,0.0,8.0,86698.0,-86698.0,2309.0,0.0,0.0,60000.0,0.0,0.0,62309.0,0.0,0.0,0.0,0.0,0.0,-24389.0,0.0,-24389.0,114900.0,0.0,90511.0,90511.0,OK
Cape Vincent Local Development Corporation,9/30/2024,123384.0,0.0,0.0,5625.0,129009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129009.0,129009.0,0.0,0.0,0.0,0.0,0.0,0.0,53129.0,1541.0,0.0,2903.0,57573.0,-57573.0,124.0,0.0,0.0,186458.0,0.0,0.0,186582.0,0.0,0.0,0.0,0.0,0.0,129009.0,0.0,129009.0,0.0,0.0,129009.0,129009.0,OK
Capitalize Albany Corporation,9/30/2024,1719486.0,6384679.0,906066.0,364790.0,9375021.0,3184933.0,618312.0,63800.0,10617340.0,4876650.0,209936.0,4194904.0,11509022.0,15376067.0,24751088.0,437796.0,0.0,0.0,0.0,2931925.0,255000.0,59521.0,3684242.0,0.0,0.0,0.0,0.0,2072038.0,2072038.0,5756280.0,11254022.0,115320.0,7625466.0,18994808.0,872091.0,284672.0,32500.0,1189263.0,863824.0,259808.0,318303.0,4220.0,191558.0,259763.0,1897476.0,-708213.0,437062.0,531560.0,1100000.0,188465.0,415843.0,156615.0,2829545.0,11881.0,0.0,188465.0,140285.0,340631.0,1780701.0,0.0,1780701.0,17188210.0,25897.0,18994808.0,24751088.0,OK
Carthage Industrial Development Corporation,9/30/2024,491288.0,849410.0,21972.0,0.0,1362670.0,185668.0,0.0,24763.0,0.0,2655004.0,0.0,0.0,2655004.0,2865435.0,4228105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185668.0,4042437.0,4228105.0,0.0,132308.0,31586.0,163894.0,0.0,0.0,10300.0,0.0,97687.0,0.0,107987.0,55907.0,9833.0,0.0,0.0,0.0,0.0,0.0,9833.0,0.0,0.0,20000.0,5783.0,25783.0,39957.0,0.0,39957.0,4188148.0,0.0,4228105.0,4228105.0,OK
Catskill Watershed Corporation,9/30/2024,122093860.0,11184395.0,3425289.0,155232.0,136858776.0,9352934.0,21885132.0,0.0,480002.0,19174290.0,0.0,2493605.0,17160687.0,48398753.0,185257529.0,2319618.0,0.0,0.0,0.0,171608603.0,0.0,0.0,173928221.0,0.0,0.0,0.0,0.0,0.0,0.0,173928221.0,17160687.0,0.0,-5831379.0,11329308.0,0.0,0.0,27171179.0,27171179.0,1674646.0,792634.0,379638.0,13647.0,592848.0,26675602.0,30129015.0,-2957836.0,5563238.0,0.0,0.0,0.0,0.0,0.0,5563238.0,0.0,0.0,0.0,0.0,0.0,2605402.0,0.0,2605402.0,8723906.0,0.0,11329308.0,185257529.0,OK
Cattaraugus County Capital Resource Corporation,9/30/2024,435800.0,0.0,0.0,0.0,435800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435800.0,435800.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.0,0.0,0.0,0.0,5020.0,-5020.0,12162.0,0.0,0.0,0.0,0.0,0.0,12162.0,0.0,0.0,0.0,0.0,0.0,7142.0,0.0,7142.0,428658.0,0.0,435800.0,435800.0,OK
Cattaraugus County Economic Sustainability and Growth Corporation,9/30/2024,332018.0,0.0,184369.0,0.0,516387.0,0.0,148536.0,0.0,0.0,0.0,0.0,0.0,0.0,148536.0,664923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664923.0,664923.0,0.0,0.0,113787.0,113787.0,0.0,0.0,13787.0,0.0,0.0,100000.0,113787.0,0.0,8255.0,0.0,0.0,0.0,0.0,0.0,8255.0,0.0,0.0,0.0,0.0,0.0,8255.0,0.0,8255.0,656668.0,0.0,664923.0,664923.0,OK
Cattaraugus County Land Bank Corporation,9/30/2024,1049246.0,0.0,0.0,28000.0,1077246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077246.0,123596.0,0.0,0.0,0.0,0.0,0.0,0.0,123596.0,0.0,0.0,0.0,0.0,0.0,0.0,123596.0,0.0,0.0,953650.0,953650.0,0.0,0.0,620074.0,620074.0,0.0,0.0,146824.0,0.0,0.0,34462.0,181286.0,438788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438788.0,0.0,438788.0,514862.0,0.0,953650.0,1077246.0,OK
Cayuga Tobacco Asset Securitization Corporation,9/30/2024,0.0,0.0,1750890.0,2262.0,1753152.0,0.0,1181522.0,0.0,0.0,0.0,0.0,0.0,0.0,1181522.0,2934674.0,0.0,0.0,0.0,57284.0,0.0,0.0,6879509.0,6936793.0,0.0,0.0,23748377.0,0.0,0.0,23748377.0,30685170.0,0.0,2913109.0,-30663605.0,-27750496.0,0.0,50531.0,1182577.0,1233108.0,0.0,0.0,0.0,0.0,0.0,49601.0,49601.0,1183507.0,5051.0,0.0,0.0,0.0,0.0,0.0,5051.0,2052003.0,0.0,0.0,49601.0,2101604.0,-913046.0,0.0,-913046.0,-26882000.0,44550.0,-27750496.0,2934674.0,OK
Chautauqua County Capital Resource Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
Chautauqua County Land Bank Corporation,9/30/2024,521957.0,517481.0,0.0,0.0,1039438.0,0.0,0.0,585107.0,0.0,0.0,0.0,0.0,0.0,585107.0,1624545.0,27.0,0.0,0.0,0.0,39541.0,0.0,63200.0,102768.0,0.0,0.0,0.0,0.0,0.0,0.0,102768.0,0.0,0.0,1521777.0,1521777.0,146417.0,0.0,514478.0,660895.0,198687.0,38256.0,38620.0,1651.0,0.0,70205.0,347419.0,313476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313476.0,0.0,313476.0,1208301.0,0.0,1521777.0,1624545.0,OK
Chautauqua Region Economic Development Corporation,9/30/2024,1004046.0,0.0,335323.0,2583.0,1341952.0,0.0,1022398.0,0.0,30488.0,0.0,0.0,0.0,30488.0,1052886.0,2394838.0,24960.0,0.0,0.0,3641.0,1817765.0,0.0,0.0,1846366.0,0.0,0.0,0.0,0.0,0.0,0.0,1846366.0,30488.0,0.0,517984.0,548472.0,0.0,15949.0,5000.0,20949.0,238355.0,99820.0,409903.0,8057.0,0.0,127314.0,883449.0,-862500.0,0.0,0.0,0.0,230001.0,0.0,1202959.0,1432960.0,0.0,0.0,592467.0,-82000.0,510467.0,59993.0,0.0,59993.0,488479.0,0.0,548472.0,2394838.0,OK
Chautauqua Tobacco Asset Securitization Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,2492394.0,74069715.0,20493.0,0.0,0.0,0.0,0.0,0.0,76582602.0,76582602.0,0.0,0.0,0.0,0.0,0.0,2470000.0,0.0,2470000.0,0.0,0.0,112488608.0,0.0,0.0,112488608.0,114958608.0,0.0,2492394.0,-40868400.0,-38376006.0,0.0,0.0,2555054.0,2555054.0,0.0,0.0,80962.0,2158165.0,0.0,0.0,2239127.0,315927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315927.0,0.0,315927.0,-38691933.0,0.0,-38376006.0,76582602.0,OK
Chemung County Capital Resource Corporation,9/30/2024,143604.0,0.0,63278.0,0.0,206882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206882.0,37812.0,0.0,0.0,15851.0,276141.0,0.0,0.0,329804.0,0.0,0.0,0.0,0.0,0.0,0.0,329804.0,0.0,0.0,-122922.0,-122922.0,0.0,0.0,606994.0,606994.0,0.0,0.0,323008.0,0.0,0.0,545515.0,868523.0,-261529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261529.0,0.0,-261529.0,138607.0,0.0,-122922.0,206882.0,OK
Chemung County Property Development Corporation,9/30/2024,154892.0,0.0,0.0,12278.0,167170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167170.0,94706.0,0.0,0.0,0.0,0.0,0.0,0.0,94706.0,0.0,0.0,0.0,0.0,0.0,0.0,94706.0,0.0,0.0,72464.0,72464.0,0.0,0.0,260782.0,260782.0,0.0,0.0,15430.0,0.0,0.0,642935.0,658365.0,-397583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-397583.0,0.0,-397583.0,470047.0,0.0,72464.0,167170.0,OK
Chemung Tobacco Asset Securitization Corporation,9/30/2024,396450.0,0.0,620708.0,0.0,1017158.0,663081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663081.0,1680239.0,0.0,0.0,0.0,0.0,0.0,2561018.0,0.0,2561018.0,0.0,0.0,0.0,0.0,0.0,0.0,2561018.0,0.0,1680239.0,-2561018.0,-880779.0,0.0,0.0,628685.0,628685.0,0.0,0.0,7810.0,0.0,0.0,24727.0,32537.0,596148.0,39463.0,0.0,0.0,0.0,0.0,0.0,39463.0,185938.0,0.0,0.0,0.0,185938.0,449673.0,0.0,449673.0,-1330452.0,0.0,-880779.0,1680239.0,OK
City of Albany Capital Resource Corporation,9/30/2024,542410.0,0.0,0.0,0.0,542410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542410.0,120516.0,0.0,0.0,0.0,0.0,0.0,0.0,120516.0,0.0,0.0,0.0,0.0,0.0,0.0,120516.0,0.0,0.0,421894.0,421894.0,500.0,0.0,0.0,500.0,0.0,0.0,4600.0,0.0,0.0,1696.0,6296.0,-5796.0,884.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0,170000.0,0.0,170000.0,-174912.0,0.0,-174912.0,596806.0,0.0,421894.0,542410.0,OK
City of Binghamton Water Street Development Corporation,9/30/2024,2509265.0,0.0,5408.0,0.0,2514673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2514673.0,208202.0,0.0,0.0,0.0,0.0,0.0,0.0,208202.0,0.0,0.0,0.0,0.0,0.0,0.0,208202.0,0.0,0.0,2306471.0,2306471.0,0.0,0.0,6517907.0,6517907.0,0.0,0.0,4716383.0,0.0,0.0,0.0,4716383.0,1801524.0,33498.0,0.0,0.0,0.0,0.0,0.0,33498.0,0.0,0.0,0.0,0.0,0.0,1835022.0,0.0,1835022.0,471449.0,0.0,2306471.0,2514673.0,OK
City of Kingston Local Development Corporation,9/30/2024,2054345.0,1546473.0,0.0,91864.0,3692682.0,0.0,178286.0,4159502.0,2853186.0,0.0,0.0,0.0,2853186.0,7190974.0,10883656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3767708.0,0.0,3767708.0,3767708.0,2853186.0,0.0,4262762.0,7115948.0,12141.0,205522.0,50797.0,268460.0,30000.0,0.0,20298.0,5953.0,0.0,52728.0,108979.0,159481.0,51381.0,0.0,0.0,0.0,0.0,0.0,51381.0,0.0,0.0,0.0,0.0,0.0,210862.0,0.0,210862.0,6905086.0,0.0,7115948.0,10883656.0,OK
City of Peekskill Local Development Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
City of Troy Capital Resource Corporation,9/30/2024,186883.0,0.0,0.0,0.0,186883.0,0.0,215000.0,0.0,0.0,0.0,0.0,0.0,0.0,215000.0,401883.0,15834.0,0.0,0.0,0.0,0.0,0.0,0.0,15834.0,0.0,0.0,0.0,0.0,0.0,0.0,15834.0,0.0,0.0,386049.0,386049.0,4500.0,0.0,0.0,4500.0,0.0,0.0,17674.0,0.0,0.0,44039.0,61713.0,-57213.0,3270.0,0.0,0.0,0.0,0.0,0.0,3270.0,0.0,0.0,0.0,0.0,0.0,-53943.0,0.0,-53943.0,439992.0,0.0,386049.0,401883.0,OK
City of Watertown Local Development Corporation,9/30/2024,360144.0,3675378.0,5401460.0,0.0,9436982.0,0.0,0.0,0.0,0.0,278005.0,0.0,0.0,278005.0,278005.0,9714987.0,0.0,0.0,0.0,0.0,0.0,0.0,6174.0,6174.0,0.0,0.0,0.0,279648.0,0.0,279648.0,285822.0,0.0,0.0,9429165.0,9429165.0,8704.0,222538.0,679291.0,910533.0,159708.0,86293.0,22328.0,14097.0,1246.0,371345.0,655017.0,255516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405472.0,0.0,405472.0,-149956.0,0.0,-149956.0,9579121.0,0.0,9429165.0,9714987.0,OK
