Transaction Date,Description,Amount
9/30/2023,Cash and Cash Equivalents,367049
9/30/2023,Cash and Cash Equivalents,498120
9/30/2023,Cash and Cash Equivalents,191015
9/30/2023,Cash and Cash Equivalents,112108
9/30/2023,Cash and Cash Equivalents,40295
9/30/2023,Cash and Cash Equivalents,31236
9/30/2023,Cash and Cash Equivalents,148313
9/30/2023,Cash and Cash Equivalents,26962
9/30/2023,Cash and Cash Equivalents,1097935
9/30/2023,Cash and Cash Equivalents,88762
9/30/2023,Cash and Cash Equivalents,1032507
9/30/2023,Cash and Cash Equivalents,117910
9/30/2023,Cash and Cash Equivalents,77137
9/30/2023,Cash and Cash Equivalents,8870858
9/30/2023,Cash and Cash Equivalents,194773
9/30/2023,Cash and Cash Equivalents,139143
9/30/2023,Cash and Cash Equivalents,310697
9/30/2023,Cash and Cash Equivalents,183798
9/30/2023,Cash and Cash Equivalents,873892
9/30/2023,Cash and Cash Equivalents,335327
9/30/2023,Cash and Cash Equivalents,430752
9/30/2023,Cash and Cash Equivalents,218962
9/30/2023,Cash and Cash Equivalents,100090
9/30/2023,Cash and Cash Equivalents,20961
9/30/2023,Cash and Cash Equivalents,9150
9/30/2023,Cash and Cash Equivalents,20690
9/30/2023,Cash and Cash Equivalents,3891580
9/30/2023,Cash and Cash Equivalents,42385
9/30/2023,Cash and Cash Equivalents,11094
9/30/2023,Cash and Cash Equivalents,493208.11
9/30/2023,Cash and Cash Equivalents,99059
9/30/2023,Cash and Cash Equivalents,498511
9/30/2023,Cash and Cash Equivalents,113259
9/30/2023,Cash and Cash Equivalents,543794
9/30/2023,Cash and Cash Equivalents,127604
9/30/2023,Cash and Cash Equivalents,26210
9/30/2023,Cash and Cash Equivalents,1751020
9/30/2023,Cash and Cash Equivalents,469429
9/30/2023,Cash and Cash Equivalents,268898
9/30/2023,Cash and Cash Equivalents,558343
9/30/2023,Cash and Cash Equivalents,2180764
9/30/2023,Cash and Cash Equivalents,476575
9/30/2023,Cash and Cash Equivalents,6409
9/30/2023,Cash and Cash Equivalents,245
9/30/2023,Cash and Cash Equivalents,247086
9/30/2023,Cash and Cash Equivalents,466454
9/30/2023,Cash and Cash Equivalents,623610
9/30/2023,Cash and Cash Equivalents,264674
9/30/2023,Cash and Cash Equivalents,101473
9/30/2023,Cash and Cash Equivalents,192848
9/30/2023,Cash and Cash Equivalents,263170.17
9/30/2023,Cash and Cash Equivalents,108916
9/30/2023,Cash and Cash Equivalents,1
9/30/2023,Cash and Cash Equivalents,154191
9/30/2023,Cash and Cash Equivalents,1054975
9/30/2023,Cash and Cash Equivalents,478909
9/30/2023,Cash and Cash Equivalents,2114905
9/30/2023,Cash and Cash Equivalents,229750
9/30/2023,Cash and Cash Equivalents,88226
9/30/2023,Cash and Cash Equivalents,3136763
9/30/2023,Cash and Cash Equivalents,827212
9/30/2023,Cash and Cash Equivalents,139684
9/30/2023,Cash and Cash Equivalents,96108
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,892035
9/30/2023,Cash and Cash Equivalents,338006
9/30/2023,Cash and Cash Equivalents,851999
9/30/2023,Cash and Cash Equivalents,60698
9/30/2023,Cash and Cash Equivalents,31907
9/30/2023,Cash and Cash Equivalents,2858281
10/31/2023,Cash and Cash Equivalents,127028
10/31/2023,Cash and Cash Equivalents,517519
10/31/2023,Cash and Cash Equivalents,8439
4/30/2023,Investments,0
4/30/2023,Investments,135954
4/30/2023,Investments,0
5/31/2023,Investments,0
5/31/2023,Investments,0
5/31/2023,Investments,0
5/31/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,27615271
6/30/2023,Investments,0
6/30/2023,Investments,2985959
6/30/2023,Investments,4185957
6/30/2023,Investments,0
6/30/2023,Investments,19838454.11
6/30/2023,Investments,1521351
6/30/2023,Investments,66495698
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,25964325
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
6/30/2023,Investments,0
7/31/2023,Investments,0
7/31/2023,Investments,0
8/31/2023,Investments,0
8/31/2023,Investments,0
8/31/2023,Investments,0
8/31/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,987190
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,6047993
9/30/2023,Investments,424685
9/30/2023,Investments,3724881
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,500000
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,3802551
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,79125
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,1678887.4
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,7368508
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,8724
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,88899
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,12656482
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,2663747
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,500000
9/30/2023,Investments,130.23
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,9933
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,304746
9/30/2023,Investments,1117103
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,13
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,6461917
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,1460421
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,313895
9/30/2023,Investments,320229
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,4956316
9/30/2023,Investments,50141
9/30/2023,Investments,0
9/30/2023,Investments,2033417
9/30/2023,Investments,0
9/30/2023,Investments,98580
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,14891
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,377137
9/30/2023,Investments,0
9/30/2023,Investments,120553.1
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,688033
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,202535.74
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,200000
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,119116
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,602645
9/30/2023,Investments,200336
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
9/30/2023,Investments,0
10/31/2023,Investments,0
10/31/2023,Investments,135429
10/31/2023,Investments,0
4/30/2023,Net Receivables,51292
4/30/2023,Net Receivables,772350
4/30/2023,Net Receivables,0
5/31/2023,Net Receivables,164813
5/31/2023,Net Receivables,0
5/31/2023,Net Receivables,33045917
5/31/2023,Net Receivables,0
6/30/2023,Net Receivables,1968817.47
6/30/2023,Net Receivables,130438444
6/30/2023,Net Receivables,495234753
6/30/2023,Net Receivables,2946
6/30/2023,Net Receivables,45186475
6/30/2023,Net Receivables,419737
6/30/2023,Net Receivables,153870.06
6/30/2023,Net Receivables,436747
6/30/2023,Net Receivables,2845798738
6/30/2023,Net Receivables,26270274
6/30/2023,Net Receivables,1998
6/30/2023,Net Receivables,0
6/30/2023,Net Receivables,41646
6/30/2023,Net Receivables,58437
6/30/2023,Net Receivables,888682
6/30/2023,Net Receivables,140004
6/30/2023,Net Receivables,0
6/30/2023,Net Receivables,104000706.9
6/30/2023,Net Receivables,11984
6/30/2023,Net Receivables,118477
7/31/2023,Net Receivables,549649
7/31/2023,Net Receivables,0
8/31/2023,Net Receivables,12108
8/31/2023,Net Receivables,310740
8/31/2023,Net Receivables,1079584
8/31/2023,Net Receivables,337
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,49697
9/30/2023,Net Receivables,11590718
9/30/2023,Net Receivables,195364
9/30/2023,Net Receivables,1405210
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,148156
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,814847
9/30/2023,Net Receivables,3400000
9/30/2023,Net Receivables,10761667
9/30/2023,Net Receivables,17104066
9/30/2023,Net Receivables,10521
9/30/2023,Net Receivables,41849606
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,2223942
9/30/2023,Net Receivables,2867
9/30/2023,Net Receivables,22176514
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,384164
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,478519
9/30/2023,Net Receivables,1654495
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,874460
9/30/2023,Net Receivables,74836021
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,620264
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,254238
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,5370688
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,10000
9/30/2023,Net Receivables,60800
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1915437
9/30/2023,Net Receivables,947212
9/30/2023,Net Receivables,10346
9/30/2023,Net Receivables,199649
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,835754
9/30/2023,Net Receivables,560
9/30/2023,Net Receivables,3204046
9/30/2023,Net Receivables,824848.74
9/30/2023,Net Receivables,2000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,122085.93
9/30/2023,Net Receivables,3750000
9/30/2023,Net Receivables,267304
9/30/2023,Net Receivables,85000
9/30/2023,Net Receivables,1819573
9/30/2023,Net Receivables,16073640
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1417616
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1455844
9/30/2023,Net Receivables,72642
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,4712389
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,169830
9/30/2023,Net Receivables,42998
9/30/2023,Net Receivables,2600
9/30/2023,Net Receivables,10000
9/30/2023,Net Receivables,22129
9/30/2023,Net Receivables,254426
9/30/2023,Net Receivables,598693
9/30/2023,Net Receivables,5282038
9/30/2023,Net Receivables,1353092
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,87689
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,608745
9/30/2023,Net Receivables,1011260
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,358538
9/30/2023,Net Receivables,50502
9/30/2023,Net Receivables,16742.4
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,31385
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,404029
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,788866
9/30/2023,Net Receivables,841413
9/30/2023,Net Receivables,504548
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1928068
9/30/2023,Net Receivables,11297299
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,6979077
9/30/2023,Net Receivables,3436
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,9434184
9/30/2023,Net Receivables,21230
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1868892
9/30/2023,Net Receivables,1796
9/30/2023,Net Receivables,681
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,9700
9/30/2023,Net Receivables,7000000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,3911923
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1274865
9/30/2023,Net Receivables,1184112
9/30/2023,Net Receivables,15646
9/30/2023,Net Receivables,55309
9/30/2023,Net Receivables,655941
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,374528
9/30/2023,Net Receivables,1800000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,2373438
9/30/2023,Net Receivables,1384573
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,2444631
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,863722
9/30/2023,Net Receivables,3454886
9/30/2023,Net Receivables,265350
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1610454
9/30/2023,Net Receivables,275000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,527236
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,3572213
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,519891
9/30/2023,Net Receivables,4477419
9/30/2023,Net Receivables,2349
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1514673
9/30/2023,Net Receivables,7332
9/30/2023,Net Receivables,175936557
9/30/2023,Net Receivables,189673
9/30/2023,Net Receivables,1185000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1398859
9/30/2023,Net Receivables,10000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,3263687.94
9/30/2023,Net Receivables,132334
9/30/2023,Net Receivables,18082
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,650000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,25412
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,1292713
9/30/2023,Net Receivables,8000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,671
9/30/2023,Net Receivables,41614
9/30/2023,Net Receivables,1104733
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,2620000
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,4500
9/30/2023,Net Receivables,281485
9/30/2023,Net Receivables,822735
9/30/2023,Net Receivables,566980
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,107883
9/30/2023,Net Receivables,1615437
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,14268786
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,0
9/30/2023,Net Receivables,2406943
9/30/2023,Net Receivables,357429
9/30/2023,Net Receivables,608543
9/30/2023,Net Receivables,7904
9/30/2023,Net Receivables,334911
9/30/2023,Net Receivables,0
10/31/2023,Net Receivables,125750
10/31/2023,Net Receivables,549161
10/31/2023,Net Receivables,0
4/30/2023,Current Assets,194541
4/30/2023,Current Assets,365418
4/30/2023,Current Assets,0
5/31/2023,Current Assets,78278
5/31/2023,Current Assets,0
5/31/2023,Current Assets,21848113
5/31/2023,Current Assets,215488
6/30/2023,Current Assets,4837826.84
6/30/2023,Current Assets,87722380
6/30/2023,Current Assets,62502162
6/30/2023,Current Assets,7163284
6/30/2023,Current Assets,17437291
6/30/2023,Current Assets,557647
6/30/2023,Current Assets,175073558.1
6/30/2023,Current Assets,3362876
6/30/2023,Current Assets,767188138
6/30/2023,Current Assets,12431121
6/30/2023,Current Assets,7023
6/30/2023,Current Assets,226771
6/30/2023,Current Assets,4947447
6/30/2023,Current Assets,45130808
6/30/2023,Current Assets,2290816
6/30/2023,Current Assets,1564321
6/30/2023,Current Assets,27214
6/30/2023,Current Assets,104606495.8
6/30/2023,Current Assets,361150
6/30/2023,Current Assets,279609
7/31/2023,Current Assets,583421
7/31/2023,Current Assets,209
8/31/2023,Current Assets,506138
8/31/2023,Current Assets,707712
8/31/2023,Current Assets,538129
8/31/2023,Current Assets,1283902
9/30/2023,Current Assets,50280
9/30/2023,Current Assets,590525
9/30/2023,Current Assets,1763244
9/30/2023,Current Assets,1680092
9/30/2023,Current Assets,8474534
9/30/2023,Current Assets,81637
9/30/2023,Current Assets,3323
9/30/2023,Current Assets,415984
9/30/2023,Current Assets,2138573
9/30/2023,Current Assets,6496870
9/30/2023,Current Assets,70598
9/30/2023,Current Assets,11628641
9/30/2023,Current Assets,8516831
9/30/2023,Current Assets,3040515
9/30/2023,Current Assets,58767994
