Transaction Date,Description,Amount
4/30/2023,Cash and Cash Equivalents,143249
4/30/2023,Cash and Cash Equivalents,229259
4/30/2023,Cash and Cash Equivalents,0
5/31/2023,Cash and Cash Equivalents,39150
5/31/2023,Cash and Cash Equivalents,0
5/31/2023,Cash and Cash Equivalents,327872
5/31/2023,Cash and Cash Equivalents,215488
6/30/2023,Cash and Cash Equivalents,2808351.14
6/30/2023,Cash and Cash Equivalents,59592539
6/30/2023,Cash and Cash Equivalents,19456873
6/30/2023,Cash and Cash Equivalents,4174379
6/30/2023,Cash and Cash Equivalents,6248358
6/30/2023,Cash and Cash Equivalents,137115
6/30/2023,Cash and Cash Equivalents,155081233.9
6/30/2023,Cash and Cash Equivalents,1691778
6/30/2023,Cash and Cash Equivalents,187485004
6/30/2023,Cash and Cash Equivalents,11098438
6/30/2023,Cash and Cash Equivalents,5025
6/30/2023,Cash and Cash Equivalents,226771
6/30/2023,Cash and Cash Equivalents,4861671
6/30/2023,Cash and Cash Equivalents,19108046
6/30/2023,Cash and Cash Equivalents,1385206
6/30/2023,Cash and Cash Equivalents,1424317
6/30/2023,Cash and Cash Equivalents,26712
6/30/2023,Cash and Cash Equivalents,605788.9
6/30/2023,Cash and Cash Equivalents,349166
6/30/2023,Cash and Cash Equivalents,152671
7/31/2023,Cash and Cash Equivalents,70667
7/31/2023,Cash and Cash Equivalents,209
8/31/2023,Cash and Cash Equivalents,494030
8/31/2023,Cash and Cash Equivalents,655149
8/31/2023,Cash and Cash Equivalents,453854
8/31/2023,Cash and Cash Equivalents,1263531
9/30/2023,Cash and Cash Equivalents,50280
9/30/2023,Cash and Cash Equivalents,534206
9/30/2023,Cash and Cash Equivalents,9/30/2023
9/30/2023,Cash and Cash Equivalents,1671223
9/30/2023,Cash and Cash Equivalents,4580317
9/30/2023,Cash and Cash Equivalents,81637
9/30/2023,Cash and Cash Equivalents,3323
9/30/2023,Cash and Cash Equivalents,267828
9/30/2023,Cash and Cash Equivalents,1595950
9/30/2023,Cash and Cash Equivalents,5420376
9/30/2023,Cash and Cash Equivalents,66313
9/30/2023,Cash and Cash Equivalents,1265215
9/30/2023,Cash and Cash Equivalents,5460730
9/30/2023,Cash and Cash Equivalents,2038262
9/30/2023,Cash and Cash Equivalents,20354670
9/30/2023,Cash and Cash Equivalents,114900
9/30/2023,Cash and Cash Equivalents,1342410
9/30/2023,Cash and Cash Equivalents,716939
9/30/2023,Cash and Cash Equivalents,130910040
9/30/2023,Cash and Cash Equivalents,438658
9/30/2023,Cash and Cash Equivalents,272504
9/30/2023,Cash and Cash Equivalents,542264
9/30/2023,Cash and Cash Equivalents,1973708
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,376398
9/30/2023,Cash and Cash Equivalents,1255390
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,138607
9/30/2023,Cash and Cash Equivalents,465029
9/30/2023,Cash and Cash Equivalents,344825
9/30/2023,Cash and Cash Equivalents,609633
9/30/2023,Cash and Cash Equivalents,3445458
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,224992
9/30/2023,Cash and Cash Equivalents,404270
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,17138
9/30/2023,Cash and Cash Equivalents,79968.12
9/30/2023,Cash and Cash Equivalents,178430
9/30/2023,Cash and Cash Equivalents,485
9/30/2023,Cash and Cash Equivalents,1413338
9/30/2023,Cash and Cash Equivalents,26894
9/30/2023,Cash and Cash Equivalents,32282
9/30/2023,Cash and Cash Equivalents,1120135
9/30/2023,Cash and Cash Equivalents,150858
9/30/2023,Cash and Cash Equivalents,198613
9/30/2023,Cash and Cash Equivalents,797414
9/30/2023,Cash and Cash Equivalents,223848
9/30/2023,Cash and Cash Equivalents,108025.82
9/30/2023,Cash and Cash Equivalents,58219
9/30/2023,Cash and Cash Equivalents,2736639
9/30/2023,Cash and Cash Equivalents,206750.16
9/30/2023,Cash and Cash Equivalents,3427277
9/30/2023,Cash and Cash Equivalents,7735419
9/30/2023,Cash and Cash Equivalents,693029
9/30/2023,Cash and Cash Equivalents,795070
9/30/2023,Cash and Cash Equivalents,6148
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,1013483
9/30/2023,Cash and Cash Equivalents,85228
9/30/2023,Cash and Cash Equivalents,7770
9/30/2023,Cash and Cash Equivalents,1216231
9/30/2023,Cash and Cash Equivalents,592808
9/30/2023,Cash and Cash Equivalents,30954
9/30/2023,Cash and Cash Equivalents,5541182
9/30/2023,Cash and Cash Equivalents,378263
9/30/2023,Cash and Cash Equivalents,13732
9/30/2023,Cash and Cash Equivalents,502.83
9/30/2023,Cash and Cash Equivalents,672870
9/30/2023,Cash and Cash Equivalents,1399533
9/30/2023,Cash and Cash Equivalents,3029030
9/30/2023,Cash and Cash Equivalents,375201
9/30/2023,Cash and Cash Equivalents,331030
9/30/2023,Cash and Cash Equivalents,48844
9/30/2023,Cash and Cash Equivalents,56264
9/30/2023,Cash and Cash Equivalents,3929431
9/30/2023,Cash and Cash Equivalents,6453492
9/30/2023,Cash and Cash Equivalents,1655875
9/30/2023,Cash and Cash Equivalents,169549
9/30/2023,Cash and Cash Equivalents,277709
9/30/2023,Cash and Cash Equivalents,126709
9/30/2023,Cash and Cash Equivalents,432744
9/30/2023,Cash and Cash Equivalents,2708180
9/30/2023,Cash and Cash Equivalents,10986
9/30/2023,Cash and Cash Equivalents,4822307
9/30/2023,Cash and Cash Equivalents,1647010
9/30/2023,Cash and Cash Equivalents,60723
9/30/2023,Cash and Cash Equivalents,1968572
9/30/2023,Cash and Cash Equivalents,152473
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,277465
9/30/2023,Cash and Cash Equivalents,653092
9/30/2023,Cash and Cash Equivalents,74749
9/30/2023,Cash and Cash Equivalents,3777
9/30/2023,Cash and Cash Equivalents,392463
9/30/2023,Cash and Cash Equivalents,324720
9/30/2023,Cash and Cash Equivalents,319742
9/30/2023,Cash and Cash Equivalents,10244
9/30/2023,Cash and Cash Equivalents,4704472
9/30/2023,Cash and Cash Equivalents,227338
9/30/2023,Cash and Cash Equivalents,253161
9/30/2023,Cash and Cash Equivalents,5324615
9/30/2023,Cash and Cash Equivalents,1050511
9/30/2023,Cash and Cash Equivalents,297000
9/30/2023,Cash and Cash Equivalents,2432250
9/30/2023,Cash and Cash Equivalents,3649775
9/30/2023,Cash and Cash Equivalents,151407
9/30/2023,Cash and Cash Equivalents,1627852
9/30/2023,Cash and Cash Equivalents,1019299
9/30/2023,Cash and Cash Equivalents,154882
9/30/2023,Cash and Cash Equivalents,3742391
9/30/2023,Cash and Cash Equivalents,586891
9/30/2023,Cash and Cash Equivalents,4854881
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,1460130
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,145566
9/30/2023,Cash and Cash Equivalents,916830
9/30/2023,Cash and Cash Equivalents,222325
9/30/2023,Cash and Cash Equivalents,234570
9/30/2023,Cash and Cash Equivalents,1214252
9/30/2023,Cash and Cash Equivalents,1820745
9/30/2023,Cash and Cash Equivalents,100627
9/30/2023,Cash and Cash Equivalents,251012
9/30/2023,Cash and Cash Equivalents,10825
9/30/2023,Cash and Cash Equivalents,1934284
9/30/2023,Cash and Cash Equivalents,1911036
9/30/2023,Cash and Cash Equivalents,632804
9/30/2023,Cash and Cash Equivalents,124169
9/30/2023,Cash and Cash Equivalents,343814
9/30/2023,Cash and Cash Equivalents,69348
9/30/2023,Cash and Cash Equivalents,296450
9/30/2023,Cash and Cash Equivalents,30000
9/30/2023,Cash and Cash Equivalents,32574
9/30/2023,Cash and Cash Equivalents,262
9/30/2023,Cash and Cash Equivalents,0
9/30/2023,Cash and Cash Equivalents,51721
9/30/2023,Cash and Cash Equivalents,150413
9/30/2023,Cash and Cash Equivalents,4669536
