Transaction_date,Current assets: All the assets of a company that are expected to be sold or used as a result of standard business,Cost of goods sold: The total amount a company paid as a cost directly related to the sale of products,Depreciation and amortization: Depreciation refers to the loss of value of a tangible fixed asset over,"EBITDA: Earnings before interest, taxes, depreciation, and amortization. A measure of a company's overall",Inventory: The accounting of items and raw materials that a company either uses in production or sells,Net Income: The overall profitability of a company after all expenses and costs have been deducted from total,Total Receivables: The balance of money due to a firm for goods or services delivered or used but not yet paid for
6/28/2024,160.155,82.974,0.702,5.069,26.837,4.82,61.46
6/29/2024,605.034,1158.902,129.835,320.424,133.111,137.057,369.649
6/29/2024,879.814,627.966,1056.637,1636.862,87.911,411.094,331.859
6/29/2024,1.903,8.122,0.911,-0.742,0.755,0.873,0.838
6/29/2024,19333,19769,584,7028,3669,4464,7120
6/29/2024,65.183,103.209,2.908,12.441,23.567,5.051,16.121
6/29/2024,654.8,826,56.1,187.2,257.8,41.5,152.8
6/29/2024,983.252,134.73,103.66,13.876,90.196,-139.311,300.453
6/29/2024,512.032,188.267,168.8,160.313,7.449,-349.348,154.52
6/29/2024,270.225,372.889,16.467,199.136,57.801,134.572,102.09
6/29/2024,98.549,1065.996,95.371,95.89,27.37,-6.419,25.034
6/29/2024,38.855,18.344,9.762,25.704,0,7.174,25.253
6/29/2024,189.678,696.567,51.822,90.09,69.365,26.328,84.014
6/29/2024,0.745,0.387,0.308,0.791,0,-0.532,0.016
6/30/2024,2386.207,6844.263,80.915,487.211,200.564,283.531,1773.62
6/30/2024,646.8,1770.3,76.9,198.5,200.7,84.8,372.8
6/30/2024,557.3,1459.1,321.6,811.2,184.3,425.5,237.3
6/30/2024,84.574,2.038,2.779,-17.735,0,69.953,0
6/30/2024,414.549,729.882,56.529,176.932,382.023,48.996,0
6/30/2024,28.634,6.605,1.693,5.876,16.247,2.859,2.43
6/30/2024,332.432,178.881,24.185,79.833,80.857,69.984,11.667
6/30/2024,710.438,286.93,101.59,249.403,104.381,134.258,150.625
6/30/2024,1428,1010,130,216,28,30,602
7/1/2024,1386,2341,149,533,511,-113,637
7/1/2024,46.076,31.985,0.148,5.87,8.204,4.964,1.845
7/1/2024,167.933,33.148,1.784,9.528,5.267,113.545,9.352
7/1/2024,7.68,4.048,0.319,4.397,2.405,3.751,0.4
7/1/2024,21.786,24.881,0.84,-24.357,0,-24.816,0.201
7/1/2024,57.685,246.269,10.158,-22.124,41.039,-32.839,3.035
7/1/2024,201.082,1046.844,42.183,165.959,2.24,92.051,161.422
7/1/2024,181.116,194.902,4.405,-184.846,2.02,-199.469,1.381
7/1/2024,230.977,496.964,23.087,140.972,45.664,79.526,143.15
7/1/2024,4.902,26.926,0.94,-0.123,2.689,-3.528,1.688
7/1/2024,495.428,415.419,16.816,9.968,88.021,2.377,256.344
7/1/2024,335.483,3456.101,205.476,350.729,72.812,107.098,122.374
7/1/2024,29.371,35.17,0.003,-21.188,0,-21.195,4.489
7/1/2024,93.092,106.563,14.084,17.794,0,-2.156,67.704
7/1/2024,2.589,4.878,0.719,-2.629,0.239,-5.314,0.215
7/1/2024,236.576,91.564,6.9,-80.28,0,-83.304,0.233
7/2/2024,331.232,2250.007,179.845,799.468,24.95,447.208,82.158
7/2/2024,971,2597,133,403,290,196,254
7/2/2024,196.139,446.264,38.904,60.214,63.747,-19.317,60.559
7/2/2024,211,169,250,253,0,142,50
7/2/2024,228.373,147.608,1.46,-113.562,5.121,-130.999,6.351
7/2/2024,56.193,58.822,2.286,-56.832,0.217,-59.978,0.201
7/2/2024,839.939,497.848,63.891,77.392,134.348,-0.971,246.767
7/2/2024,9.35,32.344,1.664,-26.353,0,-12.673,0
7/2/2024,275.033,5.559,2.867,-188.029,6.21,-221.337,16.758
7/2/2024,1357.188,124.235,22.552,168.725,243.296,128.056,141.012
7/3/2024,2023.478,928.852,138.088,348.313,583.815,365.614,392.443
7/3/2024,13726.9,12468.5,264,2368.5,1161.5,1326.4,7666.1
7/3/2024,773.105,1283.288,42.1,150.273,294.912,54.169,429.207
7/3/2024,526.477,1157.927,69.179,168.816,0,35.817,359.753
7/3/2024,225.422,303.44,9.989,25.041,174.983,1.337,47.017
7/3/2024,20.829,1.493,0.291,-11.32,1.235,-3.421,0.168
7/3/2024,1023.835,1369.997,78.575,372.771,756.038,123.259,146.983
7/4/2024,1020.794,2412.81,334.589,808.869,127.69,280.372,90.13
7/4/2024,2225,11089,2017,5343,450,3152,358
7/4/2024,130.29,77.519,28.396,48.486,110.095,10.442,6.632
7/4/2024,155.427,6.844,3.705,-6.732,0,-9.366,104.387
7/4/2024,296.294,647.208,216.449,735.031,0,322.698,152.758
7/4/2024,24.213,2.392,2.104,4.06,0,2.314,1.08
7/4/2024,847.039,2762.486,65.388,244.02,309.279,119.738,330.788
7/4/2024,337.913,126.381,3.982,92.124,0,99.937,9.337
7/4/2024,264.281,536.788,37.076,25.06,47.786,36.715,99.254
7/4/2024,94.017,29.065,4.324,25.03,25.571,22.943,15.721
7/4/2024,7.433,13.852,0.385,2.111,0.262,2.437,0.727
7/4/2024,81.114,87.262,3.6,-10.693,4.943,-46.756,9.76
7/5/2024,543.724,2066.828,144.124,403.696,187.699,157.16,291.399
7/5/2024,4186.5,10422.7,620.1,3495.1,1559.3,1752.7,1679.7
7/5/2024,1330.808,1798.791,171.747,545.615,381.11,194.745,588.888
7/5/2024,332.977,980.493,45.728,74.59,71.412,11.479,210.729
7/5/2024,497.4,584.7,4.5,64.9,107.3,224.7,84.1
7/5/2024,8.991,15.234,2.679,3.315,0,0.364,6.294
7/5/2024,286.334,203.032,9.117,85.177,0,58.269,80.904
7/5/2024,62.94,56.966,0.638,0.572,0,-9.1,12.292
7/5/2024,13.302,6.83,0.5,-10.057,6.999,-15.545,2.275
7/5/2024,107.994,37.303,0.575,-35.152,0.854,-47.149,0.401
7/5/2024,146.567,809.758,160.955,350.408,35.814,44.788,57.98
7/6/2024,17160,5803,703,5941,1195,4920,5782
7/6/2024,1087.732,2047.495,145.126,444.822,355.563,171.208,512.261
7/6/2024,3974.8,38650.3,81.5,358.2,523.1,127.7,2739.6
7/6/2024,2.781,8.328,0.246,-8.307,0.059,-8.415,0.02
7/6/2024,247.802,734.346,15.43,72.039,174.618,32.42,65.426
7/6/2024,65.327,48.226,3.89,-0.736,12.848,-12.889,15.864
7/6/2024,39.02,62.715,4.698,-1.364,21.776,-20.07,4.102
7/7/2024,21848,64308,11017,30199,0,11731,11104
7/7/2024,195.477,370.676,12.818,54.211,94.157,36.266,51.484
7/7/2024,57.578,114.988,8.437,15.825,20.275,5.028,23.457
7/7/2024,4.536,8.952,0.01,0.382,1.714,0.507,2.128
7/7/2024,1092.532,1288.227,77.544,661.715,279.995,410.573,312.192
7/7/2024,396.023,470.97,37.755,138.181,188.45,92.136,163.74
7/7/2024,654.172,888.592,83.108,577.072,173.303,377.031,272.623
7/7/2024,3537.4,7130.1,289.9,790.9,1908.7,285.5,880.3
7/7/2024,2706,17864,373,2894,0,1907,2133
7/7/2024,1046.253,2547.923,168.49,507.187,424.404,261.902,93.477
7/7/2024,3385,289.6,399,2028.4,472.5,77.6,922.3
7/7/2024,6082.454,5112.101,242.3,954.442,4362.547,423.847,624.972
7/7/2024,4520.949,7281.55,294.077,1242.393,2836.075,480.118,1154.083
7/7/2024,1420.303,890.904,261.973,516.663,29.256,136.521,95.161
7/7/2024,10.621,15.771,0.554,5.448,0.17,3.21,5.01
7/8/2024,328.5,770.3,35.9,160.5,157.3,94,124.4
7/8/2024,3507,6291,1158,3413,902,1438,1675
7/8/2024,89.063,60.693,8.299,-12.479,0,-28.207,28.273
7/8/2024,1378.24,120.69,30.202,39.585,0,38.598,3.453
7/8/2024,208.754,67.143,1.75,-65.531,0,-72.627,0
7/8/2024,429.263,505.695,715.202,962.79,0,508.407,167.595
7/8/2024,410.726,147.069,6.168,37.101,115.741,6.601,81.896
7/8/2024,31.902,8.858,0.658,-1.347,1.629,-2.023,13.146
7/8/2024,24.174,67.517,1.308,1.117,0.184,-1.456,20.655
7/8/2024,3.742,1.936,0.022,-6.822,0,-7,0.476
7/8/2024,213.961,1150.207,56.842,135.555,16.629,49.17,119.822
7/8/2024,1373.751,5703.925,97.906,486.074,596.896,205.191,722.807
7/8/2024,1130,1966,159,384,473,69,351
7/8/2024,618.5,1324.4,57.7,248.5,206.1,104.1,323.7
7/8/2024,709.793,1322.393,55.997,159.933,69.434,48.9,113.128
7/8/2024,222.502,102.596,0.643,-87.792,0,-90.751,2.43
7/9/2024,24553,129206,1020,3007,12308,256,7826
7/9/2024,1638.5,1810.5,71.9,623.6,304.7,444.2,647.3
7/9/2024,220.342,171.326,16.516,7.893,69.322,-5.738,52.163
7/9/2024,461.413,375.323,171.604,49.023,79.467,26.657,69.132
7/9/2024,785.938,745.751,331.789,269.613,20.256,-180.272,175.452
7/9/2024,2402.366,9876.265,67.07,462.333,1844.059,157.772,459.641
7/9/2024,0.181,7.519,0.24,-7.408,0,-12.518,0.029
7/9/2024,669.179,2288.403,14.063,100.716,119.195,64.592,448.62
7/9/2024,2115.1,4942.1,411.9,1536.1,795.6,738,918.6
7/9/2024,2200.3,4165.2,395.9,1201.2,484.2,467.3,462.3
7/9/2024,16.225,30.052,61.432,62.641,0,-19.911,6.799
7/9/2024,858.965,860.076,177.03,237.51,0,363.74,531.715
7/9/2024,196.8,737.5,38.8,38.4,0,-45.3,101.4
7/9/2024,915,86,116,304,0,113,212
7/9/2024,10.245,36.842,1.082,3.037,2.301,1.696,3.04
7/10/2024,281.435,205.152,3.713,37.509,137.609,21.49,54.414
7/10/2024,4884,18015.5,166.2,896.9,3650.5,396,1004.4
7/10/2024,7898,16930,645,1969,2533,-183,2210
7/10/2024,1485.703,4423.095,211.036,653.17,969.511,335.257,233.556
7/10/2024,0.605,1.417,0.021,-0.307,0,-0.328,0.226
7/10/2024,259.09,23.527,4.156,-24.979,0,-28.578,85.097
7/10/2024,37.944,327.424,24.49,29.743,2.019,2.777,7.648
7/10/2024,9.843,15.528,1.478,8.916,0,-12.326,4.702
7/10/2024,22.752,19.314,3.447,-30.479,0.765,-40.254,0.725
7/10/2024,355.777,65.41,11.097,-41.826,0,-55.545,75.735
7/10/2024,108.753,91.473,0.51,-81.817,0,-114.78,5.371
7/10/2024,24.251,4.356,0.314,42.078,0.108,30.126,20.665
7/10/2024,20289,121715,1437,5917,11040,3134,1669
7/10/2024,229.611,121.107,24.092,221.631,3.8,168.642,92.06
7/10/2024,3.77,3.878,0.308,-3.166,1.501,-2.131,0.651
7/10/2024,146.66,126.023,40.168,99.849,7.323,42.82,52.628
7/11/2024,37618,2154,1946,12509,2940,8394,3580
7/11/2024,797.418,2905.15,190.341,248.243,210.033,-19.93,509.794
7/11/2024,734.838,692.82,104.644,261.236,215.435,104.021,228.405
7/11/2024,8182.9,8336.2,202.9,1246.7,0,618.9,7095.1
7/11/2024,30.815,85.898,15.037,52.179,5.411,32.452,19.055
7/11/2024,2432,3826,1094,3959,303,1827,1266
7/11/2024,38.614,210.269,5.044,25.528,0,17.55,37.607
7/11/2024,317.863,370.269,197.731,486.62,0,164.76,40.66
7/11/2024,647.138,1362.269,66.89,242.324,221.753,136.645,265.147
7/11/2024,43.638,168.04,34.777,-54.287,0.936,-138.696,9.387
7/11/2024,25894.372,163245.615,499.639,2238.794,11918.508,1658.405,11314.226
7/11/2024,1241.07,2924.92,149.904,141.624,413.56,-321.767,700.257
7/11/2024,1.771,0.008,0.021,-2.575,0.042,-2.932,0.03
7/11/2024,3.225,4.105,0.223,-4.326,0.793,-11.445,0.042
7/11/2024,1245.923,140.793,55.467,103.643,0,25.97,101.297
7/12/2024,649.226,2837.803,108.635,255.985,0,67.262,316.197
7/12/2024,8.087,8.162,1.052,-3.439,1.012,-5.961,3.183
7/12/2024,55.626,133.587,7.8,29.11,19.576,14.311,30.606
7/12/2024,21.596,28.483,1.247,3.463,3.56,1.687,14.503
7/12/2024,682.693,1432.741,74.346,372.041,531.947,150.639,95.086
7/12/2024,0.017,0.055,0,-0.082,0,-1.189,0.017
7/12/2024,127.106,34.743,16.572,-31.592,13.003,-59.013,16.651
7/12/2024,362.33,206.643,10.977,74.416,39.296,53.158,24.996
7/13/2024,75293,118485,13142,20492,9816,8014,33399
7/13/2024,2330,2336,883,1079,150,135,1111
7/13/2024,11.394,44.376,0.287,2.176,9.765,0.658,0.094
7/13/2024,444.918,181.189,25.041,21.805,0,-28.318,112.108
7/13/2024,56.608,52.358,2.449,-41.858,2.677,-51.153,1.786
7/13/2024,21.932,7.154,4.555,-12.296,1.111,-40.053,8.627
7/13/2024,171.708,1304.896,45.2,95.343,27.203,1.646,89.425
7/13/2024,18.238,7.962,0.383,-1.251,1.903,-1.74,7.798
7/13/2024,120.954,243.602,54.494,117.412,8.018,40.449,19.497
7/13/2024,1426.183,634.639,12.245,-333.605,125.445,-361.918,64.436
7/13/2024,316.742,175.282,18.313,28.867,65.444,4.93,88.927
7/13/2024,8.337,4.138,0.067,1.956,0,1.36,0.964
7/13/2024,54.098,139.779,90.676,106.865,0,-62.5,28.898
7/13/2024,416.25,798.135,81.538,252.644,190.076,167.964,185.501
7/13/2024,38.71,35.248,6.52,-15.681,3.166,-27.976,0.526
7/14/2024,24362,27119,1116,8871,4326,6765,7859
7/14/2024,1058.02,2189.279,49.863,284.639,422.069,141.625,548.811
7/14/2024,173.534,634.992,96.382,268.611,55.432,84.315,77.855
7/14/2024,21967,8162,2659,9908,3753,4631,6222
7/14/2024,453.5,701.7,43.3,165.5,116.7,91.6,234.4
7/14/2024,11.083,5.764,0.19,-0.131,0,-0.179,2.454
7/14/2024,32.206,39.723,2.085,3.567,20.496,0.856,9.574
7/14/2024,147.172,294.918,146.032,543.173,15.844,191.988,101.225
7/14/2024,3358.7,1828.1,131.7,519.2,503.4,768.3,289.9
7/14/2024,761.837,616.736,80.77,222.257,248.268,88.002,215.032
7/14/2024,985.778,4307.594,91.837,255.747,533.049,20.477,229.24
7/14/2024,58.127,10.175,0.99,-10.398,11.425,-14.722,2.204
7/14/2024,1433,4148,47,347,74,137,1050
7/14/2024,0.003,0.26,0,-0.2,0,-0.351,0
7/14/2024,3.28,20.253,0.231,-20.1,0,-20.563,0
7/14/2024,2214.8,2533.2,876.4,2036.5,711.7,355.9,880.6
7/14/2024,1365.816,2918.94,340.01,1044.771,663.035,469.998,523.276
7/14/2024,1993.387,8505.505,93.623,305.389,1528.461,51.65,438.186
7/14/2024,87.815,119.577,4.997,-89.094,0,-96.968,4.055
7/14/2024,60.906,19.455,1.876,-1.899,0,-3.776,1.323
7/14/2024,15.2,25.938,0.009,-25.701,0,-26.615,0
7/14/2024,28.264,7.098,0.391,-15.194,0.833,-17.211,3.943
7/14/2024,171.001,125.301,10.274,2.328,0,-13.199,27.325
7/14/2024,103.107,146.603,33.154,29.746,0,-62.453,74.588
7/15/2024,166.413,296.478,70.266,46.171,29.209,-72.226,66.692
7/15/2024,27.385,14.719,0.492,1.922,4.466,1.405,3.394
7/15/2024,58.811,151.042,1.567,8.428,0,2.715,54.904
7/15/2024,131.468,212.898,40.425,141.323,5.775,63.871,95.962
7/15/2024,61897,374623,10678,30149,44269,6670,6283
7/15/2024,313.327,1160.812,3.797,54.32,0,35.296,232.119
7/15/2024,77.539,143.762,0.984,-22.417,52.191,-25.182,8.466
7/15/2024,273.218,620.625,7.745,51.539,93.767,33.746,149.142
7/15/2024,775.082,442.392,115.7,351.02,280.347,60.801,265.737
7/15/2024,951.2,1073.2,97.3,419.4,329.5,103.3,281.6
7/15/2024,5.486,11.119,0.288,-13.337,0,-14.212,1.382
7/15/2024,1413.932,1016.219,46.283,158.265,620.033,68.313,300.216
7/16/2024,1456.732,2223.339,147.161,340.502,479.98,76.586,552.642
7/16/2024,976.7,2958.2,126.7,518.4,289.5,209.4,456.7
7/16/2024,1937.802,9090.661,453.045,1681.617,148.206,779.705,1505.984
7/16/2024,1427.2,771.5,846.9,1210.5,322.3,-3607,623.3
7/16/2024,1381.18,201.175,87.028,-95.11,6.548,-243.123,157.817
7/16/2024,47.6,467.16,22.957,99.191,2.993,43.693,26.283
7/16/2024,2.415,2.529,0.027,-0.321,1.144,-0.351,0.797
7/16/2024,17272,19278,2576,5060,2447,1908,8611
7/16/2024,1304.3,924.2,64.9,353.3,509.6,179.7,383.1
7/16/2024,2.724,2.033,0.568,-5.612,1.227,-7.323,0.357
7/16/2024,1.386,5.053,0,-0.91,0.091,-2.824,1.245
7/16/2024,13.53,37.45,5.989,4.388,0.514,-5.865,10.814
7/16/2024,19.564,31.171,7.387,-25.402,0,-37.404,4.314
7/17/2024,2941.86,2189.205,162.81,840.143,1078.537,337.302,938.252
7/17/2024,5934,11448,494,3456,0,1650,4429
7/17/2024,482.425,460.712,4.582,-280.908,0,-309.242,25.694
7/17/2024,2526.778,6918.875,1178.044,2431.137,110.831,445.446,685.637
7/17/2024,2167.311,1487.576,22.834,526.67,0,344.255,910.211
7/17/2024,3.71,3.714,0.133,2.609,0,2.287,1.967
7/17/2024,5.856,4.309,0.882,-5.577,1.921,-7.432,2.078
7/17/2024,174.705,465.865,23.601,40.961,26.689,-51.693,114.864
7/17/2024,0.125,0.124,0.114,-0.332,0.014,-0.533,0.11
7/18/2024,5082.2,5242.9,970.7,2862,473.6,1497.8,1438.3
7/18/2024,226.314,417.332,43.986,151.076,67.187,78.573,99.545
7/18/2024,27.92,10.913,0.955,2.693,5.185,1.606,3.771
7/18/2024,48.386,37.805,5.675,-7.3,16.296,-36.256,16.12
7/18/2024,2055.4,3559.6,599.6,1554.9,422.5,-50.6,1058.5
7/18/2024,300.541,26.697,35.338,-24.83,0,-61.822,205.683
7/18/2024,6.381,82.494,3.705,4.042,1.004,-1.034,1.749
7/18/2024,61.913,49.731,3.009,-12.719,10.117,-14.572,4.023
7/18/2024,772.905,1510.846,392.106,330.167,107.305,-858.115,447.353
7/18/2024,892.6,6661.4,336.7,1173.6,207.3,713.4,88.3
7/18/2024,1092.903,2852.927,693.264,1562.765,0,546.871,609.545
7/18/2024,155.615,160.303,11.707,-53.926,47.91,-78.115,38.135
7/18/2024,3332.698,410.808,41.232,531.431,0,125.562,527.897
7/18/2024,33.166,10.44,1.828,10.066,0,4.661,13.035
7/18/2024,766.017,733.339,74.508,43.9,488.182,-374.08,206.917
7/18/2024,725,1127,164,1091,170,639,295
7/18/2024,57.959,295.875,21.713,13.633,22.461,-76.303,9.636
7/19/2024,1783.727,1218.876,90.031,404.11,631.688,271.813,262.279
7/19/2024,182.855,361.586,25.737,65.814,43.596,-3.349,77.831
7/19/2024,177.231,62.079,3.781,-36.48,0,-50.071,66.288
7/19/2024,490.988,1689.501,67.994,111.214,45.646,-200.248,407.663
7/19/2024,422.7,661,54.2,318.7,191.4,169.1,142.4
7/19/2024,68.595,98.3,6.786,26.529,0,13.69,19.984
7/19/2024,779.481,1347.942,56.2,98.444,395.735,16.087,252.983
7/19/2024,64.595,104.825,10.765,16.495,0,4.593,47.432
7/19/2024,1671.208,3035.597,570.304,828.448,230.589,127.092,724.456
7/19/2024,0.753,0,0,0,0,0,0
7/19/2024,0.753,0,0.006,-2.684,0,-2.593,0.012
7/19/2024,63.594,12.415,1.124,-3.901,0,-11.067,1.338
7/19/2024,9.685,55.618,2.455,-1.877,0.526,-4.936,6.291
7/19/2024,390.384,142.873,218.207,259.86,27.538,-13.384,71.21
7/19/2024,540.753,316.31,100.186,179.07,0,34.725,123.596
7/20/2024,106.905,154.142,6.855,16.526,52.887,6.214,37.682
7/20/2024,1707.4,5372.5,560.6,1164.5,711.4,327.9,782.2
7/20/2024,469.122,2574.269,84.4,167.99,280.756,62.738,57.285
7/20/2024,222.625,110.018,183.861,443.391,0,300.36,131.72
7/20/2024,3.398,3.898,0.906,1.493,0.871,-7.09,0.247
7/20/2024,11.168,24.089,0.049,1.564,3.389,1.962,5.997
7/20/2024,6.785,5.621,2.764,3.251,0,-0.259,1.143
7/20/2024,37.186,238.371,5.086,63.314,20.467,39.653,5.515
7/20/2024,562.769,1372.954,17.608,74.66,368.738,33.759,175.252
7/20/2024,4211,2176,2819,3318,934,-4148,1865
7/20/2024,0.277,0.153,0.025,-0.354,0.015,-0.351,0.032
7/20/2024,3285,8253,215.2,1180.1,1817.1,633.7,1258.2
7/20/2024,737.777,387.621,4.024,63.619,10.864,21.111,56.24
7/21/2024,604.859,918.945,29.927,232.892,302.339,168.545,280.28
7/21/2024,544.591,864.621,240.961,728.047,73.636,391.521,165.68
7/21/2024,1750,1773,1935,2174,67,-66,616
7/21/2024,720.6,1350.3,36.3,133,317.8,53.6,330.7
7/21/2024,927.036,755.277,74.735,263.75,311.163,28.793,181.202
7/21/2024,434.216,71.407,0.315,-66.407,0,-61.656,0.174
7/21/2024,150.369,223.207,298.932,774.118,0,404.427,99.723
7/21/2024,57.351,27.112,5.574,8.629,0,4.307,33.057
7/21/2024,135.825,57.095,0.855,53.884,0,54.343,10.051
7/21/2024,177.288,4.695,4.157,2.912,0,0.574,26.156
7/21/2024,2.311,5.82,5.267,-18.832,0,-58.008,0
7/21/2024,10.938,27.316,0.108,-6.93,7.38,-10.325,2.803
7/21/2024,68.198,70.742,1.147,-10.148,0.589,-10.878,13.502
7/21/2024,982.9,1208.1,88.1,409.7,316.5,34.3,337.6
7/21/2024,366.831,897.783,179.11,276.97,11.392,3.676,75.643
7/22/2024,87.863,128.299,3.857,17.674,39.122,20.442,40.682
7/22/2024,912.874,1407.361,55.803,159.85,520.162,125.678,280.509
7/22/2024,194.52,404.379,7.774,13.423,110.315,-1.325,70.262
7/22/2024,1408.8,1152.5,58.4,357.6,515.8,262.2,352.6
7/22/2024,596.819,1299.369,104.092,274.89,144.235,-29.041,353.933
7/22/2024,278.781,203.791,7.411,-150.345,0,-168.843,12.067
7/22/2024,15.879,21.827,1.263,-20.619,0.057,-21.739,0.215
7/22/2024,10.061,34.014,2.904,-1.684,0,-16.898,7.871
7/22/2024,3.738,3.802,0.802,0.022,0.453,-8,2.508
7/22/2024,8.086,8.9,0.81,-0.978,2.956,-1.903,0.574
7/22/2024,118.562,16.19,8.129,-3.434,0,-9.114,4.498
7/22/2024,448.359,1960.813,49.672,195.025,205.877,156.451,174.086
7/22/2024,2663.163,891.868,108.408,851.014,291.569,593.794,568.316
7/22/2024,0.83,6.776,0.837,-0.464,0,-11.532,0.088
7/22/2024,4.017,0.271,0.016,-2.149,0,-1.667,3.911
7/22/2024,2874,4865,328,1672,1046,1207,1318
7/22/2024,75.536,21.657,7.538,-17.293,28.765,-28.975,15.445
7/22/2024,34.669,4.107,0.669,0.202,0.452,-0.317,1.487
7/23/2024,1110.3,2786.6,362.4,480.8,622.9,-39.7,100.9
7/23/2024,0.283,0.008,0.014,-1.046,0.039,-1.046,0
7/23/2024,428.554,127.298,46.32,-87.917,0,-134.612,175.13
7/23/2024,802.306,2107.737,117.459,286.058,290.829,56.002,445.771
7/23/2024,3.473,31.74,0.218,-19.306,0,-7.911,0
7/23/2024,4.677,0.456,0.333,-10.286,0.241,-16.755,0.048
7/23/2024,79.031,174.464,0.088,-174.312,0,-173.482,0.095
7/23/2024,6.924,0.876,0.051,-11.679,0.029,-12.55,0.968
7/23/2024,52.067,24.828,0.016,-2.576,0,7.867,9.893
7/23/2024,805.4,1504,87.1,384.3,222.3,100.5,321.5
7/23/2024,4141.4,4968.3,3858.2,4940.5,0,725.3,1366.5
7/23/2024,136.094,179.281,6.06,18.933,51.851,10.03,63.239
7/23/2024,1.583,16.224,0.664,-5.045,0,-14.478,0.776
7/23/2024,22.026,19.665,2.953,-11.061,13.05,-14.873,6.191
7/24/2024,2.756,1.613,2.618,-5.147,0,-15.081,0.817
7/24/2024,456.658,2018.157,230.151,439.757,10.06,168.148,379.435
7/24/2024,593.049,561.03,78.235,231.213,85.904,82.891,283.237
7/24/2024,409.589,82.403,7.221,-33.199,18.252,-30.447,26.212
7/24/2024,1433.414,235.074,14.071,237.28,0,229.832,321.587
7/24/2024,1888.162,3429.085,49.322,293.573,1558.97,10.398,138.925
7/24/2024,436.988,959.483,26.376,68.724,201.596,16.752,173.559
7/24/2024,95.295,89.888,6.698,-88.768,0,-98.036,0.909
7/24/2024,2203.5,15197,130.1,406.6,1051.9,198.7,1065.6
7/24/2024,17.537,21.861,11.308,12.493,2.254,-1.095,9.593
7/24/2024,1985.745,2210.205,1.727,253.876,1720.593,49.547,260.033
7/24/2024,739,716,848,1406,48,151,405
7/25/2024,4079,8988,425,1605,1690,439,1618
7/25/2024,5440.893,18404.961,216.656,646.18,493,224.833,2586.32
7/25/2024,1479.9,2897.9,139.4,1081.5,786.3,933.4,518.1
7/25/2024,9932,7465,3977,8636,1260,4131,4961
7/25/2024,3186,642,615,1239,0,31,777
7/25/2024,29.861,0.442,0.437,-18.161,3.258,-19.536,7.624
7/25/2024,53.473,42.624,6.25,-1.999,18.635,-21.44,23.211
7/25/2024,324.977,116.84,4.464,-86.406,0,-85.343,7.547
7/25/2024,141.743,86.833,17.861,44.023,46.341,15.525,36.724
7/25/2024,3543.102,4236.625,259.837,2086.421,3193.344,1324.487,270.181
7/25/2024,35,68.612,2.634,6.194,0.139,-0.354,21.387
7/25/2024,194.905,606.921,11.78,27.787,0,-16.951,170.314
7/25/2024,4132,554.3,91,20.6,0,-147.9,467.3
7/25/2024,73.883,113.021,1.504,-1.448,36.56,-12.282,31.414
7/25/2024,348.072,1763.206,47.344,177.146,0,92.364,276.099
7/26/2024,3404.019,10395.92,330.357,2371.071,1750.442,1587.457,96.711
7/26/2024,2.024,0.7,0.031,-3.992,1.48,-4.024,0.157
7/26/2024,8.564,4.38,3.171,-4.23,0,-9.481,0.083
7/26/2024,11.733,20.541,0.137,0.19,7.928,-0.074,2.76
7/26/2024,213.251,1271.508,89.321,164.689,0,14.886,192.438
7/27/2024,32050,7465,377.6,3002.7,0,1620.8,1984.2
7/27/2024,445.9,698.7,252,366.1,46.5,-69.8,342.8
7/27/2024,47973,225517,18745,39584,18958,20840,24701
7/27/2024,315.327,948.777,31.273,-61.005,246.518,-12.967,53.382
7/27/2024,556.256,5019.403,97.112,144.307,210.573,-302.269,326.602
7/27/2024,9.058,10.408,0.4,-6.03,4.784,-6.504,1.681
7/27/2024,7.212,26.741,3.181,-2.29,0,-5.891,6.724
7/27/2024,7.174,17.61,9.101,-3.293,0,-15.555,3.381
7/27/2024,599.567,430.604,37.52,156.026,0,66.13,279.774
7/27/2024,2.769,5.268,0.01,-4.257,0.417,-4.255,0.117
7/27/2024,16.844,47.605,39.631,59.592,0,9,13.221
7/27/2024,2285,6054,538,1335,887,496,941
7/27/2024,1206.642,3658.077,103.619,73.198,734.883,15.923,112.779
7/27/2024,18.994,3.309,1.397,2.56,0,0.837,1.683
7/27/2024,843.1,2074.5,46,124.5,514,13,266.9
7/28/2024,7445,14253,962,2447,5263,1108,400
7/28/2024,10625,12445,2266,6181,3005,2938,4595
7/28/2024,251.382,639.687,25.671,4.721,234.365,-21.938,0
7/28/2024,44.529,39.593,3.446,-56.842,18.616,-65.743,1.392
7/28/2024,962,968,91,377,45,-41,186
7/28/2024,135.382,59.362,0.57,-30.261,0,-26.754,2.701
7/28/2024,65.37,41.189,0.281,-32.803,0,-32.703,0.524
7/28/2024,1211.1,2108.2,80.3,547.4,411.8,349.6,637.9
7/28/2024,225.598,476.326,18.886,44.015,139.841,21.374,0
7/29/2024,2056.7,3100,188.3,721.3,457.5,610.4,698.3
7/29/2024,304.046,312.078,18.669,90.277,54.524,56.893,52.718
7/29/2024,382.797,755.53,46.449,157.224,112.884,103.596,132.342
7/29/2024,52.444,13.471,1.8,34.545,0,20.738,2.55
7/29/2024,540.712,305.07,747.339,1368.76,0,369.127,175.143
